label,acid,source,block_ns,n_blocks_per_concentration,K,z_min (A),z_max (A),mean_diff (kJ/mol),p_mean_raw,T_RMS,p_perm_RMS_raw,n_perm,p_mean_FDR,mean test,p_perm_RMS_FDR,RMS test
VAL,SCV,raw z distributions,600,3,50,0.5,49.5,-1.4058699915096995,2.1249536307298768e-08,2.037380878358559,0.1,20,2.8332715076398357e-08,different,0.2,not different
LEU,SCL,raw z distributions,600,3,50,0.5,49.5,1.3432737032348718,9.54030914223254e-08,2.0164283642074188,0.4,20,1.090321044826576e-07,different,0.4,not different
ILE,SCI,raw z distributions,600,3,50,0.5,49.5,1.6152528232829604,3.506922001984945e-09,2.256038922171895,0.1,20,5.6110752031759125e-09,different,0.2,not different
MET,SCM,raw z distributions,600,3,50,0.5,49.5,1.807081809664517,9.854978691333149e-11,2.3773875507250946,0.1,20,3.668771716718913e-10,different,0.2,not different
PHE,SCF,raw z distributions,600,3,50,0.5,49.5,1.6729814388103708,2.0608878392692215e-13,2.042608472784476,0.4,20,1.6487102714153772e-12,different,0.4,not different
TYR$^0$,SCY,raw z distributions,600,3,50,0.5,49.5,1.9490110407393846,1.3757893937695923e-10,2.5768693685941093,0.1,20,3.668771716718913e-10,different,0.2,not different
TRP,SCW,raw z distributions,600,3,50,0.5,49.5,0.7664340227111694,1.866936236397713e-09,1.0580002428803632,0.3,20,3.733872472795426e-09,different,0.39999999999999997,not different
ARG$^0$,SCRN,raw z distributions,600,3,50,0.5,49.5,-0.07436653651181359,0.43091689457833865,0.6596761500944156,0.2,20,0.43091689457833865,not different,0.32,not different
