label,acid,source,block_ns,n_blocks_per_concentration,K,z_min (A),z_max (A),mean_diff (kJ/mol),p_mean_raw,T_RMS,p_perm_RMS_raw,n_perm,p_mean_FDR,mean test,p_perm_RMS_FDR,RMS test
VAL,SCV,raw z distributions,200,9,50,0.5,49.5,-1.3876880449241613,1.962741322561395e-09,1.9173369554893855,0.16055121349238996,48620,5.2339768601637195e-09,different,0.16055121349238996,not different
LEU,SCL,raw z distributions,200,9,50,0.5,49.5,0.9520060938170488,6.192965512452474e-08,1.4140197507809664,0.13780337309749074,48620,7.077674871374256e-08,different,0.15748956925427512,not different
ILE,SCI,raw z distributions,200,9,50,0.5,49.5,1.0902154126417958,1.4290072399022761e-08,1.5664268838578999,0.08132455779514602,48620,2.286411583843642e-08,different,0.11726312902783491,not different
MET,SCM,raw z distributions,200,9,50,0.5,49.5,1.0270340981151898,4.837622097256171e-08,1.5165125796244046,0.08794734677087618,48620,6.45016279634156e-08,different,0.11726312902783491,not different
PHE,SCF,raw z distributions,200,9,50,0.5,49.5,1.8742351525081213,8.012704703459525e-11,2.4582928870621483,0.0746606334841629,48620,3.20508188138381e-10,different,0.11726312902783491,not different
TYR$^0$,SCY,raw z distributions,200,9,50,0.5,49.5,2.4746029826956764,5.72415909070659e-09,3.4893550428036457,0.0071575483340189225,48620,1.144831818141318e-08,different,0.03126285479226656,different
TRP,SCW,raw z distributions,200,9,50,0.5,49.5,1.674300766090013,7.908270834871169e-13,2.072823707634995,0.06042780748663101,48620,6.3266166678969355e-12,different,0.11726312902783491,not different
ARG$^0$,SCRN,raw z distributions,200,9,50,0.5,49.5,-0.08025071488168231,0.40442253974701536,0.6727488284700213,0.00781571369806664,48620,0.40442253974701536,not different,0.03126285479226656,different
