x	dens_mean	std_dev	std_error
-77.500000	0.000000	0.000000	0.000000
-76.500000	0.000000	0.000000	0.000000
-75.500000	0.000000	0.000000	0.000000
-74.500000	0.003333	0.005000	0.002887
-73.500000	0.016667	0.005000	0.002887
-72.500000	0.056667	0.005000	0.002887
-71.500000	0.140000	0.008660	0.005000
-70.500000	0.270000	0.017321	0.010000
-69.500000	0.450000	0.022913	0.013229
-68.500000	0.646667	0.027839	0.016073
-67.500000	0.813333	0.018028	0.010408
-66.500000	0.923333	0.013229	0.007638
-65.500000	0.976667	0.005000	0.002887
-64.500000	0.993333	0.005000	0.002887
-63.500000	1.000000	0.000000	0.000000
-62.500000	1.000000	0.000000	0.000000
-61.500000	1.000000	0.000000	0.000000
-60.500000	1.000000	0.000000	0.000000
-59.500000	1.000000	0.000000	0.000000
-58.500000	1.000000	0.000000	0.000000
-57.500000	1.000000	0.000000	0.000000
-56.500000	1.000000	0.000000	0.000000
-55.500000	1.000000	0.000000	0.000000
-54.500000	1.000000	0.000000	0.000000
-53.500000	1.000000	0.000000	0.000000
-52.500000	1.000000	0.000000	0.000000
-51.500000	1.000000	0.000000	0.000000
-50.500000	1.000000	0.000000	0.000000
-49.500000	1.000000	0.000000	0.000000
-48.500000	1.000000	0.000000	0.000000
-47.500000	1.000000	0.000000	0.000000
-46.500000	1.000000	0.000000	0.000000
-45.500000	1.000000	0.000000	0.000000
-44.500000	1.000000	0.000000	0.000000
-43.500000	1.000000	0.000000	0.000000
-42.500000	1.000000	0.000000	0.000000
-41.500000	1.000000	0.000000	0.000000
-40.500000	1.000000	0.000000	0.000000
-39.500000	1.000000	0.000000	0.000000
-38.500000	1.000000	0.000000	0.000000
-37.500000	1.000000	0.000000	0.000000
-36.500000	1.000000	0.000000	0.000000
-35.500000	1.000000	0.000000	0.000000
-34.500000	1.000000	0.000000	0.000000
-33.500000	1.000000	0.000000	0.000000
-32.500000	1.000000	0.000000	0.000000
-31.500000	1.000000	0.000000	0.000000
-30.500000	1.000000	0.000000	0.000000
-29.500000	1.000000	0.000000	0.000000
-28.500000	0.993333	0.005000	0.002887
-27.500000	0.980000	0.000000	0.000000
-26.500000	0.960000	0.000000	0.000000
-25.500000	0.930000	0.000000	0.000000
-24.500000	0.876667	0.005000	0.002887
-23.500000	0.810000	0.000000	0.000000
-22.500000	0.730000	0.000000	0.000000
-21.500000	0.650000	0.000000	0.000000
-20.500000	0.570000	0.000000	0.000000
-19.500000	0.503333	0.005000	0.002887
-18.500000	0.450000	0.000000	0.000000
-17.500000	0.393333	0.005000	0.002887
-16.500000	0.330000	0.000000	0.000000
-15.500000	0.253333	0.005000	0.002887
-14.500000	0.173333	0.005000	0.002887
-13.500000	0.103333	0.005000	0.002887
-12.500000	0.053333	0.005000	0.002887
-11.500000	0.020000	0.000000	0.000000
-10.500000	0.010000	0.000000	0.000000
-9.500000	0.000000	0.000000	0.000000
-8.500000	0.000000	0.000000	0.000000
-7.500000	0.000000	0.000000	0.000000
-6.500000	0.000000	0.000000	0.000000
-5.500000	0.000000	0.000000	0.000000
-4.500000	0.000000	0.000000	0.000000
-3.500000	0.000000	0.000000	0.000000
-2.500000	0.000000	0.000000	0.000000
-1.500000	0.000000	0.000000	0.000000
-0.500000	0.000000	0.000000	0.000000
0.500000	0.000000	0.000000	0.000000
1.500000	0.000000	0.000000	0.000000
2.500000	0.000000	0.000000	0.000000
3.500000	0.000000	0.000000	0.000000
4.500000	0.000000	0.000000	0.000000
5.500000	0.000000	0.000000	0.000000
6.500000	0.000000	0.000000	0.000000
7.500000	0.000000	0.000000	0.000000
8.500000	0.000000	0.000000	0.000000
9.500000	0.000000	0.000000	0.000000
10.500000	0.010000	0.000000	0.000000
11.500000	0.020000	0.000000	0.000000
12.500000	0.050000	0.000000	0.000000
13.500000	0.100000	0.000000	0.000000
14.500000	0.170000	0.000000	0.000000
15.500000	0.253333	0.005000	0.002887
16.500000	0.330000	0.000000	0.000000
17.500000	0.396667	0.005000	0.002887
18.500000	0.453333	0.005000	0.002887
19.500000	0.506667	0.005000	0.002887
20.500000	0.570000	0.000000	0.000000
21.500000	0.650000	0.000000	0.000000
22.500000	0.730000	0.000000	0.000000
23.500000	0.810000	0.000000	0.000000
24.500000	0.880000	0.000000	0.000000
25.500000	0.930000	0.000000	0.000000
26.500000	0.963333	0.005000	0.002887
27.500000	0.986667	0.005000	0.002887
28.500000	0.996667	0.005000	0.002887
29.500000	1.000000	0.000000	0.000000
30.500000	1.000000	0.000000	0.000000
31.500000	1.000000	0.000000	0.000000
32.500000	1.000000	0.000000	0.000000
33.500000	1.000000	0.000000	0.000000
34.500000	1.000000	0.000000	0.000000
35.500000	1.000000	0.000000	0.000000
36.500000	1.000000	0.000000	0.000000
37.500000	1.000000	0.000000	0.000000
38.500000	1.000000	0.000000	0.000000
39.500000	1.000000	0.000000	0.000000
40.500000	1.000000	0.000000	0.000000
41.500000	1.000000	0.000000	0.000000
42.500000	1.000000	0.000000	0.000000
43.500000	1.000000	0.000000	0.000000
44.500000	1.000000	0.000000	0.000000
45.500000	1.000000	0.000000	0.000000
46.500000	1.000000	0.000000	0.000000
47.500000	1.000000	0.000000	0.000000
48.500000	1.000000	0.000000	0.000000
49.500000	1.000000	0.000000	0.000000
50.500000	1.000000	0.000000	0.000000
51.500000	1.000000	0.000000	0.000000
52.500000	1.000000	0.000000	0.000000
53.500000	1.000000	0.000000	0.000000
54.500000	1.000000	0.000000	0.000000
55.500000	1.000000	0.000000	0.000000
56.500000	1.000000	0.000000	0.000000
57.500000	1.000000	0.000000	0.000000
58.500000	1.000000	0.000000	0.000000
59.500000	1.000000	0.000000	0.000000
60.500000	1.000000	0.000000	0.000000
61.500000	1.000000	0.000000	0.000000
62.500000	1.000000	0.000000	0.000000
63.500000	1.000000	0.000000	0.000000
64.500000	1.000000	0.000000	0.000000
65.500000	0.990000	0.000000	0.000000
66.500000	0.973333	0.005000	0.002887
67.500000	0.913333	0.013229	0.007638
68.500000	0.793333	0.018028	0.010408
69.500000	0.623333	0.025000	0.014434
70.500000	0.420000	0.022913	0.013229
71.500000	0.246667	0.013229	0.007638
72.500000	0.120000	0.008660	0.005000
73.500000	0.046667	0.005000	0.002887
74.500000	0.016667	0.005000	0.002887
75.500000	0.000000	0.000000	0.000000
76.500000	0.000000	0.000000	0.000000
77.500000	0.000000	0.000000	0.000000
78.500000	0.000000	0.000000	0.000000
