x	dens_mean	std_dev	std_error
-30.500000	0.000000	0.000000	0.000000
-29.500000	0.000000	0.000000	0.000000
-28.500000	0.000000	0.000000	0.000000
-27.500000	0.000000	0.000000	0.000000
-26.500000	0.000000	0.000000	0.000000
-25.500000	0.010000	0.000000	0.000000
-24.500000	0.030000	0.000000	0.000000
-23.500000	0.080000	0.000000	0.000000
-22.500000	0.170000	0.000000	0.000000
-21.500000	0.286667	0.005000	0.002887
-20.500000	0.393333	0.005000	0.002887
-19.500000	0.433333	0.005000	0.002887
-18.500000	0.396667	0.005000	0.002887
-17.500000	0.296667	0.005000	0.002887
-16.500000	0.183333	0.005000	0.002887
-15.500000	0.093333	0.005000	0.002887
-14.500000	0.040000	0.000000	0.000000
-13.500000	0.010000	0.000000	0.000000
-12.500000	0.000000	0.000000	0.000000
-11.500000	0.000000	0.000000	0.000000
-10.500000	0.000000	0.000000	0.000000
-9.500000	0.000000	0.000000	0.000000
-8.500000	0.000000	0.000000	0.000000
-7.500000	0.000000	0.000000	0.000000
-6.500000	0.000000	0.000000	0.000000
-5.500000	0.000000	0.000000	0.000000
-4.500000	0.000000	0.000000	0.000000
-3.500000	0.000000	0.000000	0.000000
-2.500000	0.000000	0.000000	0.000000
-1.500000	0.000000	0.000000	0.000000
-0.500000	0.000000	0.000000	0.000000
0.500000	0.000000	0.000000	0.000000
1.500000	0.000000	0.000000	0.000000
2.500000	0.000000	0.000000	0.000000
3.500000	0.000000	0.000000	0.000000
4.500000	0.000000	0.000000	0.000000
5.500000	0.000000	0.000000	0.000000
6.500000	0.000000	0.000000	0.000000
7.500000	0.000000	0.000000	0.000000
8.500000	0.000000	0.000000	0.000000
9.500000	0.000000	0.000000	0.000000
10.500000	0.000000	0.000000	0.000000
11.500000	0.000000	0.000000	0.000000
12.500000	0.000000	0.000000	0.000000
13.500000	0.010000	0.000000	0.000000
14.500000	0.040000	0.000000	0.000000
15.500000	0.093333	0.005000	0.002887
16.500000	0.183333	0.005000	0.002887
17.500000	0.296667	0.005000	0.002887
18.500000	0.396667	0.005000	0.002887
19.500000	0.436667	0.005000	0.002887
20.500000	0.393333	0.005000	0.002887
21.500000	0.286667	0.005000	0.002887
22.500000	0.170000	0.000000	0.000000
23.500000	0.083333	0.005000	0.002887
24.500000	0.030000	0.000000	0.000000
25.500000	0.010000	0.000000	0.000000
26.500000	0.000000	0.000000	0.000000
27.500000	0.000000	0.000000	0.000000
28.500000	0.000000	0.000000	0.000000
29.500000	0.000000	0.000000	0.000000
30.500000	0.000000	0.000000	0.000000
