x	y1_raw	y1_raw	y1_raw
-27.500000	0.000000	0.000000	0.000000
-26.500000	0.000000	0.000000	0.000000
-25.500000	0.000000	0.000000	0.000000
-24.500000	0.000000	0.000000	0.000000
-23.500000	0.000000	0.000000	0.000000
-22.500000	0.000000	0.000000	0.000000
-21.500000	0.000000	0.000000	0.000000
-20.500000	0.010000	0.010000	0.000000
-19.500000	0.020000	0.030000	0.010000
-18.500000	0.040000	0.070000	0.030000
-17.500000	0.100000	0.140000	0.070000
-16.500000	0.190000	0.250000	0.140000
-15.500000	0.320000	0.390000	0.250000
-14.500000	0.460000	0.530000	0.390000
-13.500000	0.610000	0.660000	0.530000
-12.500000	0.720000	0.750000	0.660000
-11.500000	0.790000	0.800000	0.750000
-10.500000	0.820000	0.820000	0.810000
-9.500000	0.830000	0.830000	0.830000
-8.500000	0.830000	0.830000	0.830000
-7.500000	0.830000	0.830000	0.830000
-6.500000	0.820000	0.820000	0.820000
-5.500000	0.810000	0.800000	0.810000
-4.500000	0.780000	0.780000	0.790000
-3.500000	0.750000	0.740000	0.760000
-2.500000	0.710000	0.710000	0.730000
-1.500000	0.690000	0.680000	0.690000
-0.500000	0.670000	0.680000	0.670000
0.500000	0.680000	0.690000	0.670000
1.500000	0.700000	0.710000	0.690000
2.500000	0.730000	0.740000	0.730000
3.500000	0.760000	0.760000	0.760000
4.500000	0.790000	0.790000	0.790000
5.500000	0.810000	0.810000	0.810000
6.500000	0.820000	0.830000	0.820000
7.500000	0.830000	0.830000	0.830000
8.500000	0.830000	0.820000	0.830000
9.500000	0.820000	0.790000	0.830000
10.500000	0.780000	0.730000	0.810000
11.500000	0.710000	0.640000	0.750000
12.500000	0.600000	0.520000	0.660000
13.500000	0.470000	0.400000	0.530000
14.500000	0.330000	0.280000	0.380000
15.500000	0.210000	0.180000	0.250000
16.500000	0.110000	0.100000	0.140000
17.500000	0.060000	0.050000	0.070000
18.500000	0.020000	0.020000	0.030000
19.500000	0.010000	0.010000	0.010000
20.500000	0.000000	0.000000	0.000000
21.500000	0.000000	0.000000	0.000000
22.500000	0.000000	0.000000	0.000000
23.500000	0.000000	0.000000	0.000000
24.500000	0.000000	0.000000	0.000000
25.500000	0.000000	0.000000	0.000000
