x	dens_mean	std_dev	std_error
-27.500000	0.000000	0.000000	0.000000
-26.500000	0.000000	0.000000	0.000000
-25.500000	0.000000	0.000000	0.000000
-24.500000	0.000000	0.000000	0.000000
-23.500000	0.000000	0.000000	0.000000
-22.500000	0.000000	0.000000	0.000000
-21.500000	0.000000	0.000000	0.000000
-20.500000	0.006667	0.005000	0.002887
-19.500000	0.020000	0.008660	0.005000
-18.500000	0.046667	0.018028	0.010408
-17.500000	0.103333	0.030414	0.017559
-16.500000	0.193333	0.047697	0.027538
-15.500000	0.320000	0.060622	0.035000
-14.500000	0.460000	0.060622	0.035000
-13.500000	0.600000	0.056789	0.032787
-12.500000	0.710000	0.039686	0.022913
-11.500000	0.780000	0.022913	0.013229
-10.500000	0.816667	0.005000	0.002887
-9.500000	0.830000	0.000000	0.000000
-8.500000	0.830000	0.000000	0.000000
-7.500000	0.830000	0.000000	0.000000
-6.500000	0.820000	0.000000	0.000000
-5.500000	0.806667	0.005000	0.002887
-4.500000	0.783333	0.005000	0.002887
-3.500000	0.750000	0.008660	0.005000
-2.500000	0.716667	0.010000	0.005774
-1.500000	0.686667	0.005000	0.002887
-0.500000	0.673333	0.005000	0.002887
0.500000	0.680000	0.008660	0.005000
1.500000	0.700000	0.008660	0.005000
2.500000	0.733333	0.005000	0.002887
3.500000	0.760000	0.000000	0.000000
4.500000	0.790000	0.000000	0.000000
5.500000	0.810000	0.000000	0.000000
6.500000	0.823333	0.005000	0.002887
7.500000	0.830000	0.000000	0.000000
8.500000	0.826667	0.005000	0.002887
9.500000	0.813333	0.018028	0.010408
10.500000	0.773333	0.035000	0.020207
11.500000	0.700000	0.048218	0.027839
12.500000	0.593333	0.060828	0.035119
13.500000	0.466667	0.056347	0.032532
14.500000	0.330000	0.043301	0.025000
15.500000	0.213333	0.030414	0.017559
16.500000	0.116667	0.018028	0.010408
17.500000	0.060000	0.008660	0.005000
18.500000	0.023333	0.005000	0.002887
19.500000	0.010000	0.000000	0.000000
20.500000	0.000000	0.000000	0.000000
21.500000	0.000000	0.000000	0.000000
22.500000	0.000000	0.000000	0.000000
23.500000	0.000000	0.000000	0.000000
24.500000	0.000000	0.000000	0.000000
25.500000	0.000000	0.000000	0.000000
