x	y1_raw	y1_raw	y1_raw
-77.500000	0.000000	0.000000	0.000000
-76.500000	0.000000	0.000000	0.000000
-75.500000	0.000000	0.000000	0.000000
-74.500000	0.010000	0.000000	0.000000
-73.500000	0.020000	0.020000	0.010000
-72.500000	0.060000	0.060000	0.050000
-71.500000	0.140000	0.150000	0.130000
-70.500000	0.270000	0.290000	0.250000
-69.500000	0.460000	0.470000	0.420000
-68.500000	0.670000	0.660000	0.610000
-67.500000	0.830000	0.820000	0.790000
-66.500000	0.940000	0.920000	0.910000
-65.500000	0.980000	0.980000	0.970000
-64.500000	1.000000	0.990000	0.990000
-63.500000	1.000000	1.000000	1.000000
-62.500000	1.000000	1.000000	1.000000
-61.500000	1.000000	1.000000	1.000000
-60.500000	1.000000	1.000000	1.000000
-59.500000	1.000000	1.000000	1.000000
-58.500000	1.000000	1.000000	1.000000
-57.500000	1.000000	1.000000	1.000000
-56.500000	1.000000	1.000000	1.000000
-55.500000	1.000000	1.000000	1.000000
-54.500000	1.000000	1.000000	1.000000
-53.500000	1.000000	1.000000	1.000000
-52.500000	1.000000	1.000000	1.000000
-51.500000	1.000000	1.000000	1.000000
-50.500000	1.000000	1.000000	1.000000
-49.500000	1.000000	1.000000	1.000000
-48.500000	1.000000	1.000000	1.000000
-47.500000	1.000000	1.000000	1.000000
-46.500000	1.000000	1.000000	1.000000
-45.500000	1.000000	1.000000	1.000000
-44.500000	1.000000	1.000000	1.000000
-43.500000	1.000000	1.000000	1.000000
-42.500000	1.000000	1.000000	1.000000
-41.500000	1.000000	1.000000	1.000000
-40.500000	1.000000	1.000000	1.000000
-39.500000	1.000000	1.000000	1.000000
-38.500000	1.000000	1.000000	1.000000
-37.500000	1.000000	1.000000	1.000000
-36.500000	1.000000	1.000000	1.000000
-35.500000	1.000000	1.000000	1.000000
-34.500000	1.000000	1.000000	1.000000
-33.500000	1.000000	1.000000	1.000000
-32.500000	1.000000	1.000000	1.000000
-31.500000	1.000000	1.000000	1.000000
-30.500000	1.000000	1.000000	1.000000
-29.500000	1.000000	1.000000	1.000000
-28.500000	0.990000	1.000000	0.990000
-27.500000	0.980000	0.980000	0.980000
-26.500000	0.960000	0.960000	0.960000
-25.500000	0.930000	0.930000	0.930000
-24.500000	0.880000	0.870000	0.880000
-23.500000	0.810000	0.810000	0.810000
-22.500000	0.730000	0.730000	0.730000
-21.500000	0.650000	0.650000	0.650000
-20.500000	0.570000	0.570000	0.570000
-19.500000	0.500000	0.500000	0.510000
-18.500000	0.450000	0.450000	0.450000
-17.500000	0.390000	0.390000	0.400000
-16.500000	0.330000	0.330000	0.330000
-15.500000	0.250000	0.250000	0.260000
-14.500000	0.170000	0.170000	0.180000
-13.500000	0.100000	0.100000	0.110000
-12.500000	0.050000	0.050000	0.060000
-11.500000	0.020000	0.020000	0.020000
-10.500000	0.010000	0.010000	0.010000
-9.500000	0.000000	0.000000	0.000000
-8.500000	0.000000	0.000000	0.000000
-7.500000	0.000000	0.000000	0.000000
-6.500000	0.000000	0.000000	0.000000
-5.500000	0.000000	0.000000	0.000000
-4.500000	0.000000	0.000000	0.000000
-3.500000	0.000000	0.000000	0.000000
-2.500000	0.000000	0.000000	0.000000
-1.500000	0.000000	0.000000	0.000000
-0.500000	0.000000	0.000000	0.000000
0.500000	0.000000	0.000000	0.000000
1.500000	0.000000	0.000000	0.000000
2.500000	0.000000	0.000000	0.000000
3.500000	0.000000	0.000000	0.000000
4.500000	0.000000	0.000000	0.000000
5.500000	0.000000	0.000000	0.000000
6.500000	0.000000	0.000000	0.000000
7.500000	0.000000	0.000000	0.000000
8.500000	0.000000	0.000000	0.000000
9.500000	0.000000	0.000000	0.000000
10.500000	0.010000	0.010000	0.010000
11.500000	0.020000	0.020000	0.020000
12.500000	0.050000	0.050000	0.050000
13.500000	0.100000	0.100000	0.100000
14.500000	0.170000	0.170000	0.170000
15.500000	0.250000	0.250000	0.260000
16.500000	0.330000	0.330000	0.330000
17.500000	0.400000	0.390000	0.400000
18.500000	0.450000	0.450000	0.460000
19.500000	0.500000	0.510000	0.510000
20.500000	0.570000	0.570000	0.570000
21.500000	0.650000	0.650000	0.650000
22.500000	0.730000	0.730000	0.730000
23.500000	0.810000	0.810000	0.810000
24.500000	0.880000	0.880000	0.880000
25.500000	0.930000	0.930000	0.930000
26.500000	0.970000	0.960000	0.960000
27.500000	0.980000	0.990000	0.990000
28.500000	1.000000	0.990000	1.000000
29.500000	1.000000	1.000000	1.000000
30.500000	1.000000	1.000000	1.000000
31.500000	1.000000	1.000000	1.000000
32.500000	1.000000	1.000000	1.000000
33.500000	1.000000	1.000000	1.000000
34.500000	1.000000	1.000000	1.000000
35.500000	1.000000	1.000000	1.000000
36.500000	1.000000	1.000000	1.000000
37.500000	1.000000	1.000000	1.000000
38.500000	1.000000	1.000000	1.000000
39.500000	1.000000	1.000000	1.000000
40.500000	1.000000	1.000000	1.000000
41.500000	1.000000	1.000000	1.000000
42.500000	1.000000	1.000000	1.000000
43.500000	1.000000	1.000000	1.000000
44.500000	1.000000	1.000000	1.000000
45.500000	1.000000	1.000000	1.000000
46.500000	1.000000	1.000000	1.000000
47.500000	1.000000	1.000000	1.000000
48.500000	1.000000	1.000000	1.000000
49.500000	1.000000	1.000000	1.000000
50.500000	1.000000	1.000000	1.000000
51.500000	1.000000	1.000000	1.000000
52.500000	1.000000	1.000000	1.000000
53.500000	1.000000	1.000000	1.000000
54.500000	1.000000	1.000000	1.000000
55.500000	1.000000	1.000000	1.000000
56.500000	1.000000	1.000000	1.000000
57.500000	1.000000	1.000000	1.000000
58.500000	1.000000	1.000000	1.000000
59.500000	1.000000	1.000000	1.000000
60.500000	1.000000	1.000000	1.000000
61.500000	1.000000	1.000000	1.000000
62.500000	1.000000	1.000000	1.000000
63.500000	1.000000	1.000000	1.000000
64.500000	1.000000	1.000000	1.000000
65.500000	0.990000	0.990000	0.990000
66.500000	0.980000	0.970000	0.970000
67.500000	0.930000	0.910000	0.900000
68.500000	0.810000	0.800000	0.770000
69.500000	0.640000	0.640000	0.590000
70.500000	0.430000	0.440000	0.390000
71.500000	0.250000	0.260000	0.230000
72.500000	0.120000	0.130000	0.110000
73.500000	0.050000	0.050000	0.040000
74.500000	0.020000	0.020000	0.010000
75.500000	0.000000	0.000000	0.000000
76.500000	0.000000	0.000000	0.000000
77.500000	0.000000	0.000000	0.000000
78.500000	0.000000	0.000000	0.000000
