x	y1_raw	y1_norm	PMF_y1	y2_raw	y2_norm	PMF_y2	y3_raw	y3_norm	PMF_y3	y4_raw	y4_norm	PMF_y4	y5_raw	y5_norm	PMF_y5	y6_raw	y6_norm	PMF_y6
0.500000	0.004700	0.003849	-6.642766	0.004930	0.003784	-7.958383	0.005560	0.004463	-8.642785	0.005470	0.004267	-10.678414	0.006240	0.004774	-7.746076	0.006190	0.005095	-10.443210
1.500000	0.004880	0.003996	-6.739383	0.005440	0.004175	-8.211459	0.005970	0.004793	-8.825764	0.005740	0.004478	-10.802309	0.006750	0.005164	-7.948150	0.006590	0.005424	-10.604292
2.500000	0.005620	0.004603	-7.102422	0.006450	0.004950	-8.649418	0.007050	0.005660	-9.253504	0.006620	0.005164	-11.169167	0.007870	0.006021	-8.343103	0.007610	0.006263	-10.974560
3.500000	0.007600	0.006224	-7.878849	0.008560	0.006570	-9.377576	0.009350	0.007506	-9.980094	0.008470	0.006607	-11.803226	0.010350	0.007918	-9.048086	0.009450	0.007778	-11.531887
4.500000	0.011950	0.009786	-9.043804	0.013260	0.010177	-10.504165	0.013910	0.011167	-11.002771	0.012540	0.009782	-12.813292	0.014920	0.011414	-9.989664	0.013380	0.011012	-12.427176
5.500000	0.020450	0.016748	-10.427391	0.022280	0.017100	-11.840619	0.022430	0.018006	-12.233325	0.020400	0.015913	-14.066440	0.023530	0.018002	-11.163007	0.021120	0.017383	-13.602770
6.500000	0.035250	0.028868	-11.830062	0.037560	0.028828	-13.186022	0.037010	0.029710	-13.523465	0.034330	0.026780	-15.407249	0.038210	0.029232	-12.412006	0.034640	0.028510	-14.877430
7.500000	0.057510	0.047098	-13.091307	0.060570	0.046488	-14.417291	0.059040	0.047395	-14.726828	0.055630	0.043395	-16.650971	0.060060	0.045949	-13.577279	0.055200	0.045432	-16.078015
8.500000	0.086080	0.070496	-14.130614	0.090090	0.069145	-15.440337	0.087210	0.070009	-15.732083	0.085270	0.066516	-17.751546	0.088790	0.067928	-14.584657	0.082120	0.067588	-17.101596
9.500000	0.116800	0.095654	-14.917086	0.121880	0.093544	-16.219184	0.117150	0.094044	-16.492655	0.119090	0.092898	-18.612414	0.120080	0.091867	-15.362616	0.112200	0.092346	-17.905885
10.500000	0.142480	0.116685	-15.429254	0.150090	0.115195	-16.755729	0.142990	0.114788	-17.006320	0.148940	0.116182	-19.188817	0.147490	0.112837	-15.892471	0.139930	0.115169	-18.475060
11.500000	0.156370	0.128060	-15.668987	0.166700	0.127943	-17.026227	0.157560	0.126484	-17.256383	0.166840	0.130145	-19.481300	0.162790	0.124542	-16.146834	0.156540	0.128840	-18.764134
12.500000	0.154530	0.126553	-15.638482	0.165280	0.126854	-17.004180	0.155450	0.124790	-17.221637	0.166590	0.129950	-19.477435	0.161230	0.123348	-16.122019	0.155950	0.128354	-18.754403
13.500000	0.135460	0.110935	-15.299045	0.145380	0.111580	-16.673561	0.137570	0.110437	-16.906736	0.148070	0.115504	-19.173719	0.142430	0.108966	-15.802505	0.137380	0.113070	-18.427663
14.500000	0.105150	0.086113	-14.646301	0.113190	0.086874	-16.028561	0.107600	0.086378	-16.273517	0.116160	0.090612	-18.548217	0.112980	0.086435	-15.205552	0.106600	0.087737	-17.773942
15.500000	0.072320	0.059227	-13.681771	0.078000	0.059866	-15.068999	0.075030	0.060232	-15.344431	0.080110	0.062491	-17.590689	0.080420	0.061525	-14.329511	0.072750	0.059877	-16.789394
16.500000	0.043930	0.035977	-12.397240	0.048230	0.037017	-13.830267	0.046670	0.037465	-14.121005	0.048820	0.038083	-16.314498	0.051240	0.039201	-13.168033	0.044080	0.036280	-15.498368
17.500000	0.024020	0.019671	-10.841866	0.027090	0.020792	-12.344157	0.025900	0.020792	-12.603867	0.026600	0.020750	-14.750028	0.029100	0.022263	-11.710320	0.024300	0.020000	-13.964063
18.500000	0.012070	0.009885	-9.069530	0.014110	0.010830	-10.664147	0.013060	0.010484	-10.840409	0.013000	0.010141	-12.906049	0.014840	0.011353	-9.975820	0.012300	0.010123	-12.210467
19.500000	0.005710	0.004676	-7.143281	0.006870	0.005273	-8.811690	0.006140	0.004929	-8.897982	0.005960	0.004649	-10.899034	0.007240	0.005539	-8.128430	0.005800	0.004774	-10.275823
20.500000	0.002740	0.002244	-5.256795	0.003470	0.002663	-7.056118	0.002940	0.002360	-7.005663	0.002690	0.002098	-8.855400	0.003510	0.002685	-6.267354	0.002640	0.002173	-8.253694
21.500000	0.001390	0.001138	-3.518754	0.001800	0.001382	-5.373364	0.001500	0.001204	-5.281674	0.001210	0.000944	-6.811218	0.001910	0.001461	-4.707007	0.001260	0.001037	-6.360219
22.500000	0.000860	0.000704	-2.295099	0.001070	0.000821	-4.045423	0.000890	0.000714	-3.950814	0.000560	0.000437	-4.856708	0.001270	0.000972	-3.664043	0.000710	0.000584	-4.900850
23.500000	0.000630	0.000516	-1.506138	0.000740	0.000568	-3.108783	0.000610	0.000490	-2.993470	0.000270	0.000211	-3.037720	0.001020	0.000780	-3.105480	0.000480	0.000395	-3.912571
