x	y1_raw	y1_norm	PMF_y1	y2_raw	y2_norm	PMF_y2	y3_raw	y3_norm	PMF_y3	y4_raw	y4_norm	PMF_y4	y5_raw	y5_norm	PMF_y5	y6_raw	y6_norm	PMF_y6
0.500000	0.000000	0.000000	18.423660	0.000000	0.000000	18.213443	0.000000	0.000000	18.451133	0.000000	0.000000	17.898788	0.000000	0.000000	18.478124	0.000000	0.000000	17.955251
1.500000	0.000000	0.000000	18.423660	0.000000	0.000000	18.213443	0.000000	0.000000	18.451133	0.000000	0.000000	17.898788	0.000000	0.000000	18.478124	0.000000	0.000000	17.955251
2.500000	0.000000	0.000000	18.423660	0.000000	0.000000	18.213443	0.000000	0.000000	18.451133	0.000000	0.000000	17.898788	0.000000	0.000000	18.478124	0.000000	0.000000	17.955251
3.500000	0.000000	0.000000	18.423660	0.000000	0.000000	18.213443	0.000000	0.000000	18.451133	0.000000	0.000000	17.898788	0.000000	0.000000	18.478124	0.000000	0.000000	17.955251
4.500000	0.000010	0.000010	16.633193	0.000010	0.000009	16.492766	0.000000	0.000000	18.451133	0.000010	0.000009	16.218993	0.000010	0.000010	16.661848	0.000010	0.000009	16.249120
5.500000	0.000050	0.000050	13.799038	0.000050	0.000047	13.706087	0.000040	0.000042	14.222014	0.000040	0.000037	13.923594	0.000040	0.000041	14.282539	0.000060	0.000056	13.079287
6.500000	0.000220	0.000221	10.334795	0.000220	0.000209	10.259588	0.000200	0.000208	10.508160	0.000190	0.000175	10.384388	0.000170	0.000174	10.972651	0.000260	0.000244	9.617799
7.500000	0.000800	0.000802	7.089792	0.000760	0.000722	7.149525	0.000710	0.000738	7.329165	0.000710	0.000652	7.091177	0.000770	0.000788	7.190896	0.000870	0.000817	6.576993
8.500000	0.002500	0.002508	4.174745	0.002240	0.002127	4.387025	0.002050	0.002132	4.618945	0.002200	0.002022	4.202827	0.002490	0.002548	4.188417	0.002440	0.002290	3.939226
9.500000	0.006230	0.006249	1.827549	0.005610	0.005327	2.028089	0.005290	0.005501	2.183063	0.005680	0.005219	1.766020	0.006280	0.006426	1.810241	0.005810	0.005453	1.709678
10.500000	0.013470	0.013512	-0.157595	0.012240	0.011623	0.019972	0.011620	0.012084	0.157478	0.012390	0.011385	-0.241476	0.013220	0.013527	-0.106127	0.012420	0.011658	-0.245886
11.500000	0.025190	0.025268	-1.770077	0.023220	0.022049	-1.629263	0.022170	0.023055	-1.506501	0.023470	0.021567	-1.886899	0.024340	0.024906	-1.678441	0.023710	0.022255	-1.911313
12.500000	0.041380	0.041508	-3.048942	0.039040	0.037072	-2.967905	0.037120	0.038602	-2.834453	0.039260	0.036076	-3.212416	0.039530	0.040449	-2.927895	0.040010	0.037554	-3.259390
13.500000	0.059980	0.060166	-4.005493	0.056820	0.053956	-3.934968	0.054460	0.056635	-3.822162	0.058530	0.053784	-4.241399	0.056200	0.057507	-3.834561	0.059470	0.055819	-4.280675
14.500000	0.075040	0.075273	-4.582757	0.072440	0.068788	-4.560824	0.069560	0.072338	-4.452798	0.077790	0.071482	-4.974465	0.069460	0.071076	-4.380445	0.077970	0.073184	-4.978643
15.500000	0.083440	0.083699	-4.856195	0.081380	0.077277	-4.860710	0.077300	0.080387	-4.724683	0.089560	0.082297	-5.337554	0.075530	0.077287	-4.596342	0.088660	0.083218	-5.309750
16.500000	0.080200	0.080449	-4.754134	0.078950	0.074970	-4.782589	0.074650	0.077631	-4.634788	0.088430	0.081259	-5.304832	0.071820	0.073490	-4.466547	0.086510	0.081200	-5.246487
17.500000	0.066610	0.066816	-4.275668	0.067180	0.063793	-4.366566	0.062770	0.065277	-4.188112	0.075230	0.069129	-4.888232	0.059410	0.060792	-3.977697	0.072220	0.067787	-4.781229
18.500000	0.048890	0.049042	-3.478683	0.050460	0.047916	-3.629079	0.046840	0.048710	-3.433756	0.057000	0.052378	-4.173143	0.043670	0.044686	-3.184542	0.052440	0.049221	-3.956501
19.500000	0.032730	0.032831	-2.444705	0.034390	0.032656	-2.641139	0.031910	0.033184	-2.444774	0.039760	0.036536	-3.245024	0.029730	0.030421	-2.193813	0.034570	0.032448	-2.882837
20.500000	0.020680	0.020744	-1.261841	0.021770	0.020672	-1.463151	0.020770	0.021599	-1.338455	0.026360	0.024222	-2.186061	0.019580	0.020035	-1.117831	0.022090	0.020734	-1.728995
21.500000	0.013030	0.013070	-0.072064	0.013170	0.012506	-0.168616	0.013100	0.013623	-0.151264	0.017380	0.015971	-1.113077	0.013160	0.013466	-0.094412	0.014300	0.013422	-0.608876
22.500000	0.008790	0.008817	0.941529	0.008390	0.007967	0.992336	0.008820	0.009172	0.867389	0.011790	0.010834	-0.113657	0.009470	0.009690	0.752924	0.009650	0.009058	0.403872
23.500000	0.006440	0.006460	1.742238	0.006080	0.005773	1.821105	0.006740	0.007009	1.559730	0.008740	0.008031	0.657018	0.007230	0.007398	1.447699	0.007130	0.006692	1.182891
24.500000	0.005250	0.005266	2.267887	0.005080	0.004824	2.283359	0.005760	0.005990	1.964063	0.006880	0.006322	1.272888	0.006040	0.006180	1.910510	0.005920	0.005557	1.661425
