x	y1_raw	y1_norm	PMF_y1	y2_raw	y2_norm	PMF_y2	y3_raw	y3_norm	PMF_y3	y4_raw	y4_norm	PMF_y4	y5_raw	y5_norm	PMF_y5	y6_raw	y6_norm	PMF_y6
0.500000	0.000010	0.000022	16.597161	0.000010	0.000020	16.494724	0.000030	0.000065	14.315556	0.000030	0.000061	14.281121	0.000010	0.000021	16.573081	0.000010	0.000021	16.510106
1.500000	0.000010	0.000022	16.597161	0.000010	0.000020	16.494724	0.000030	0.000065	14.315556	0.000040	0.000082	13.631504	0.000010	0.000021	16.573081	0.000000	0.000000	19.437715
2.500000	0.000020	0.000043	15.253294	0.000010	0.000020	16.494724	0.000030	0.000065	14.315556	0.000030	0.000061	14.281121	0.000020	0.000042	15.241371	0.000000	0.000000	19.437715
3.500000	0.000020	0.000043	15.253294	0.000020	0.000041	15.171591	0.000030	0.000065	14.315556	0.000020	0.000041	15.151737	0.000030	0.000063	14.367707	0.000000	0.000000	19.437715
4.500000	0.000020	0.000043	15.253294	0.000040	0.000082	13.652299	0.000040	0.000086	13.661722	0.000030	0.000061	14.281121	0.000050	0.000105	13.196929	0.000010	0.000021	16.510106
5.500000	0.000040	0.000087	13.720331	0.000100	0.000204	11.465410	0.000090	0.000194	11.724678	0.000040	0.000082	13.631504	0.000110	0.000230	11.290547	0.000040	0.000085	13.647351
6.500000	0.000110	0.000239	11.288451	0.000240	0.000489	9.280302	0.000220	0.000475	9.496621	0.000130	0.000266	10.795593	0.000250	0.000523	9.235448	0.000130	0.000275	10.805518
7.500000	0.000340	0.000737	8.451130	0.000590	0.001203	6.992832	0.000530	0.001145	7.261758	0.000350	0.000717	8.302344	0.000580	0.001213	7.094116	0.000320	0.000676	8.538182
8.500000	0.000820	0.001778	6.202413	0.001260	0.002569	5.048614	0.001180	0.002549	5.211198	0.000890	0.001822	5.918556	0.001240	0.002593	5.146997	0.000810	0.001712	6.167385
9.500000	0.001850	0.004012	4.113431	0.002430	0.004954	3.360687	0.002270	0.004903	3.529776	0.001940	0.003972	3.917862	0.002430	0.005081	3.417868	0.001800	0.003805	4.117603
10.500000	0.003470	0.007525	2.495357	0.004210	0.008583	1.946450	0.003970	0.008574	2.091325	0.003530	0.007227	2.377958	0.004450	0.009305	1.860843	0.003480	0.007357	2.421766
11.500000	0.005600	0.012145	1.263113	0.006420	0.013089	0.859960	0.006200	0.013391	0.943471	0.005710	0.011690	1.139821	0.006940	0.014512	0.716472	0.005750	0.012155	1.128891
12.500000	0.007670	0.016634	0.452983	0.008580	0.017492	0.112987	0.008270	0.017861	0.201459	0.007910	0.016194	0.300456	0.009090	0.019008	0.021337	0.008000	0.016912	0.278342
