x	y1_raw	y1_norm	PMF_y1	y2_raw	y2_norm	PMF_y2	y3_raw	y3_norm	PMF_y3	y4_raw	y4_norm	PMF_y4	y5_raw	y5_norm	PMF_y5	y6_raw	y6_norm	PMF_y6
33.500000	0.002630	0.002822	0.359810	0.003290	0.003372	0.120466	0.004830	0.004593	-0.309328	0.003970	0.004586	0.171723	0.003990	0.003861	0.244299	0.003470	0.003894	0.196380
34.500000	0.002670	0.002865	0.321043	0.003270	0.003352	0.136135	0.004710	0.004479	-0.244628	0.003950	0.004562	0.184711	0.004050	0.003919	0.205929	0.003530	0.003962	0.152308
35.500000	0.002710	0.002908	0.282850	0.003280	0.003362	0.128289	0.004640	0.004412	-0.206123	0.003920	0.004528	0.204318	0.004140	0.004006	0.149424	0.003560	0.003995	0.130552
36.500000	0.002730	0.002929	0.263963	0.003320	0.003403	0.097140	0.004600	0.004374	-0.183859	0.003920	0.004528	0.204318	0.004220	0.004084	0.100218	0.003620	0.004063	0.087582
37.500000	0.002770	0.002972	0.226601	0.003420	0.003506	0.020876	0.004560	0.004336	-0.161401	0.003870	0.004470	0.237330	0.004220	0.004084	0.100218	0.003700	0.004152	0.031381
38.500000	0.002770	0.002972	0.226601	0.003490	0.003578	-0.031197	0.004590	0.004365	-0.178263	0.003880	0.004482	0.230694	0.004210	0.004074	0.106317	0.003690	0.004141	0.038340
39.500000	0.002840	0.003047	0.162492	0.003520	0.003608	-0.053196	0.004520	0.004298	-0.138745	0.003920	0.004528	0.204318	0.004270	0.004132	0.069934	0.003740	0.004197	0.003734
40.500000	0.002910	0.003123	0.099939	0.003460	0.003547	-0.009009	0.004420	0.004203	-0.081219	0.003910	0.004516	0.210886	0.004350	0.004210	0.022207	0.003740	0.004197	0.003734
41.500000	0.002930	0.003144	0.082342	0.003470	0.003557	-0.016426	0.004350	0.004136	-0.040174	0.003990	0.004609	0.158800	0.004400	0.004258	-0.007179	0.003690	0.004141	0.038340
42.500000	0.003010	0.003230	0.013132	0.003470	0.003557	-0.016426	0.004310	0.004098	-0.016422	0.004110	0.004747	0.082591	0.004390	0.004248	-0.001328	0.003680	0.004130	0.045317
43.500000	0.003020	0.003241	0.004609	0.003490	0.003578	-0.031197	0.004240	0.004032	0.025677	0.004180	0.004828	0.039155	0.004360	0.004219	0.016303	0.003710	0.004164	0.024442
44.500000	0.003100	0.003326	-0.062571	0.003470	0.003557	-0.016426	0.004220	0.004013	0.037833	0.004300	0.004967	-0.033644	0.004450	0.004306	-0.036234	0.003690	0.004141	0.038340
45.500000	0.003070	0.003294	-0.037583	0.003440	0.003526	0.005891	0.004200	0.003994	0.050047	0.004360	0.005036	-0.069288	0.004460	0.004316	-0.042006	0.003700	0.004152	0.031381
46.500000	0.003060	0.003284	-0.029200	0.003400	0.003485	0.035949	0.004260	0.004051	0.013579	0.004390	0.005071	-0.086926	0.004450	0.004306	-0.036234	0.003740	0.004197	0.003734
47.500000	0.003030	0.003251	-0.003885	0.003420	0.003506	0.020876	0.004260	0.004051	0.013579	0.004430	0.005117	-0.110257	0.004370	0.004229	0.010413	0.003790	0.004254	-0.030413
48.500000	0.003060	0.003284	-0.029200	0.003440	0.003526	0.005891	0.004270	0.004060	0.007551	0.004430	0.005117	-0.110257	0.004320	0.004181	0.040001	0.003840	0.004310	-0.064114
49.500000	0.003070	0.003294	-0.037583	0.003420	0.003506	0.020876	0.004300	0.004089	-0.010450	0.004380	0.005059	-0.081060	0.004330	0.004190	0.034056	0.003880	0.004355	-0.090761
50.500000	0.003010	0.003230	0.013132	0.003390	0.003475	0.043519	0.004310	0.004098	-0.016422	0.004320	0.004990	-0.045580	0.004290	0.004152	0.057919	0.003990	0.004478	-0.162650
51.500000	0.003060	0.003284	-0.029200	0.003380	0.003465	0.051111	0.004280	0.004070	0.001536	0.004290	0.004955	-0.027656	0.004290	0.004152	0.057919	0.004090	0.004590	-0.226309
52.500000	0.003070	0.003294	-0.037583	0.003380	0.003465	0.051111	0.004240	0.004032	0.025677	0.004290	0.004955	-0.027656	0.004250	0.004113	0.082004	0.004130	0.004635	-0.251338
53.500000	0.003070	0.003294	-0.037583	0.003390	0.003475	0.043519	0.004200	0.003994	0.050047	0.004280	0.004944	-0.021653	0.004240	0.004103	0.088061	0.004080	0.004579	-0.220013
54.500000	0.003030	0.003251	-0.003885	0.003330	0.003413	0.089411	0.004150	0.003946	0.080836	0.004290	0.004955	-0.027656	0.004140	0.004006	0.149424	0.004050	0.004545	-0.201034
55.500000	0.002860	0.003069	0.144464	0.003280	0.003362	0.128289	0.004010	0.003813	0.169055	0.004290	0.004955	-0.027656	0.004030	0.003900	0.218656	0.004020	0.004512	-0.181914
56.500000	0.002620	0.002811	0.369594	0.003230	0.003311	0.167762	0.003810	0.003623	0.300563	0.004320	0.004990	-0.045580	0.003840	0.003716	0.342799	0.004020	0.004512	-0.181914
57.500000	0.002250	0.002414	0.760477	0.003130	0.003208	0.248569	0.003450	0.003281	0.555637	0.004380	0.005059	-0.081060	0.003480	0.003368	0.595798	0.003970	0.004456	-0.149728
58.500000	0.001790	0.001921	1.347222	0.003120	0.003198	0.256791	0.002960	0.002815	0.949150	0.004340	0.005013	-0.057461	0.002990	0.002893	0.985682	0.003880	0.004355	-0.090761
59.500000	0.001250	0.001341	2.266912	0.003020	0.003096	0.340485	0.002250	0.002139	1.653131	0.004250	0.004909	-0.003561	0.002300	0.002226	1.659222	0.003870	0.004343	-0.084125
60.500000	0.000730	0.000783	3.639595	0.002850	0.002921	0.489315	0.001520	0.001445	2.658263	0.004170	0.004817	0.045316	0.001610	0.001558	2.573559	0.003780	0.004242	-0.023620
61.500000	0.000350	0.000376	5.499194	0.002540	0.002604	0.785036	0.000880	0.000837	4.054045	0.003860	0.004458	0.243984	0.000960	0.000929	3.895083	0.003500	0.003928	0.174250
62.500000	0.000130	0.000139	7.941076	0.002110	0.002163	1.261062	0.000420	0.000399	5.927296	0.003400	0.003927	0.570246	0.000500	0.000484	5.551218	0.003110	0.003490	0.477917
63.500000	0.000040	0.000043	10.617523	0.001590	0.001630	1.986454	0.000150	0.000143	8.470070	0.002750	0.003176	1.115546	0.000220	0.000213	7.601585	0.002560	0.002873	0.977926
64.500000	0.000010	0.000011	13.033034	0.001050	0.001076	3.047835	0.000050	0.000048	10.984213	0.002000	0.002310	1.933278	0.000080	0.000077	10.014025	0.001890	0.002121	1.756802
