x	y1_raw	y1_norm	PMF_y1	y2_raw	y2_norm	PMF_y2	y3_raw	y3_norm	PMF_y3	y4_raw	y4_norm	PMF_y4	y5_raw	y5_norm	PMF_y5	y6_raw	y6_norm	PMF_y6
0.500000	0.000000	0.000000	19.783233	0.000000	0.000000	19.545982	0.000000	0.000000	19.793989	0.000000	0.000000	19.575560	0.000000	0.000000	19.716319	0.000000	0.000000	19.571984
1.500000	0.000000	0.000000	19.783233	0.000000	0.000000	19.545982	0.000000	0.000000	19.793989	0.000000	0.000000	19.575560	0.000000	0.000000	19.716319	0.000000	0.000000	19.571984
2.500000	0.000000	0.000000	19.783233	0.000000	0.000000	19.545982	0.000000	0.000000	19.793989	0.000000	0.000000	19.575560	0.000000	0.000000	19.716319	0.000000	0.000000	19.571984
3.500000	0.000000	0.000000	19.783233	0.000000	0.000000	19.545982	0.000000	0.000000	19.793989	0.000000	0.000000	19.575560	0.000000	0.000000	19.716319	0.000000	0.000000	19.571984
4.500000	0.000010	0.000016	17.284834	0.000000	0.000000	19.545982	0.000000	0.000000	19.793989	0.000000	0.000000	19.575560	0.000000	0.000000	19.716319	0.000000	0.000000	19.571984
5.500000	0.000020	0.000033	16.040378	0.000010	0.000016	17.079593	0.000010	0.000017	17.280732	0.000010	0.000016	17.127883	0.000010	0.000017	17.192141	0.000000	0.000000	19.571984
6.500000	0.000050	0.000082	14.068798	0.000030	0.000048	15.010395	0.000020	0.000033	16.032812	0.000030	0.000048	15.065156	0.000020	0.000033	15.941689	0.000020	0.000032	15.880274
7.500000	0.000100	0.000164	12.426645	0.000090	0.000144	12.492950	0.000060	0.000099	13.635169	0.000070	0.000111	13.150919	0.000100	0.000166	12.320690	0.000050	0.000080	13.917147
8.500000	0.000210	0.000344	10.593371	0.000220	0.000353	10.289895	0.000160	0.000264	11.259296	0.000190	0.000301	10.715603	0.000270	0.000449	9.854484	0.000140	0.000223	11.455098
9.500000	0.000530	0.000867	8.251734	0.000550	0.000882	7.971280	0.000400	0.000661	8.954717	0.000490	0.000777	8.325102	0.000680	0.001131	7.507954	0.000380	0.000606	8.952314
10.500000	0.001200	0.001964	6.161989	0.001130	0.001812	6.130326	0.000870	0.001437	6.972897	0.001120	0.001775	6.212966	0.001440	0.002394	5.586114	0.000950	0.001515	6.615955
11.500000	0.002360	0.003862	4.425258	0.002060	0.003304	4.589057	0.001670	0.002758	5.300798	0.002130	0.003376	4.563125	0.002800	0.004656	3.877456	0.001900	0.003029	4.837945
12.500000	0.003900	0.006382	3.133251	0.003200	0.005132	3.456653	0.002840	0.004690	3.936119	0.003420	0.005420	3.345579	0.004490	0.007466	2.662430	0.003240	0.005166	3.465878
13.500000	0.005400	0.008836	2.295648	0.004550	0.007297	2.550978	0.003990	0.006590	3.061438	0.004570	0.007243	2.599674	0.006070	0.010093	1.886244	0.004550	0.007254	2.592167
14.500000	0.006320	0.010341	1.890604	0.005650	0.009061	1.993598	0.004740	0.007828	2.618119	0.005380	0.008527	2.179651	0.006920	0.011506	1.548779	0.005670	0.009040	2.025693
15.500000	0.006440	0.010538	1.842172	0.005950	0.009542	1.860400	0.005180	0.008555	2.389614	0.005690	0.009018	2.035428	0.006910	0.011490	1.552503	0.006050	0.009646	1.858682
16.500000	0.005940	0.009720	2.050266	0.005570	0.008933	2.030311	0.004860	0.008026	2.553764	0.005350	0.008479	2.194046	0.006260	0.010409	1.806884	0.005680	0.009056	2.021157
17.500000	0.004960	0.008116	2.514446	0.004780	0.007666	2.424050	0.004290	0.007085	2.874865	0.004590	0.007275	2.588434	0.005220	0.008680	2.274650	0.004980	0.007940	2.359732
18.500000	0.003970	0.006496	3.087473	0.003940	0.006319	2.921431	0.003720	0.006144	3.241742	0.003740	0.005928	3.115455	0.004120	0.006851	2.883770	0.004220	0.006728	2.785943
19.500000	0.003390	0.005547	3.493850	0.003460	0.005549	3.255694	0.003270	0.005400	3.573472	0.003250	0.005151	3.476738	0.003420	0.005687	3.362935	0.003610	0.005755	3.187690
20.500000	0.003270	0.005351	3.586567	0.003320	0.005324	3.361952	0.003220	0.005318	3.613111	0.003250	0.005151	3.476738	0.003230	0.005371	3.509985	0.003350	0.005341	3.379992
21.500000	0.003670	0.006005	3.289662	0.003730	0.005982	3.062369	0.003680	0.006078	3.269560	0.003670	0.005817	3.164069	0.003660	0.006086	3.188430	0.003790	0.006042	3.062493
22.500000	0.004620	0.007560	2.697232	0.004670	0.007489	2.483976	0.004680	0.007729	2.650910	0.004720	0.007481	2.516550	0.004680	0.007782	2.555751	0.004770	0.007605	2.470631
23.500000	0.006040	0.009883	2.007281	0.006080	0.009751	1.804753	0.006100	0.010074	1.968714	0.006040	0.009573	1.881742	0.006180	0.010276	1.840002	0.006270	0.009996	1.766718
24.500000	0.007720	0.012632	1.375342	0.007660	0.012285	1.209913	0.007660	0.012651	1.382315	0.007610	0.012061	1.286779	0.007790	0.012953	1.243807	0.008010	0.012770	1.136050
25.500000	0.009410	0.015397	0.865502	0.009220	0.014787	0.732524	0.009170	0.015145	0.918921	0.009080	0.014391	0.831938	0.009390	0.015614	0.762687	0.009670	0.015417	0.650987
