z_center	theta_center	count	angle_type
-72.620943	1.856651	0	theta2
-72.620943	5.454368	1	theta2
-72.620943	9.052086	0	theta2
-72.620943	12.649804	2	theta2
-72.620943	16.247522	2	theta2
-72.620943	19.845239	4	theta2
-72.620943	23.442957	1	theta2
-72.620943	27.040675	1	theta2
-72.620943	30.638393	3	theta2
-72.620943	34.236110	5	theta2
-72.620943	37.833828	5	theta2
-72.620943	41.431546	3	theta2
-72.620943	45.029264	10	theta2
-72.620943	48.626981	7	theta2
-72.620943	52.224699	5	theta2
-72.620943	55.822417	6	theta2
-72.620943	59.420135	8	theta2
-72.620943	63.017853	9	theta2
-72.620943	66.615570	10	theta2
-72.620943	70.213288	14	theta2
-72.620943	73.811006	17	theta2
-72.620943	77.408724	17	theta2
-72.620943	81.006441	13	theta2
-72.620943	84.604159	16	theta2
-72.620943	88.201877	12	theta2
-72.620943	91.799595	10	theta2
-72.620943	95.397312	13	theta2
-72.620943	98.995030	12	theta2
-72.620943	102.592748	8	theta2
-72.620943	106.190466	9	theta2
-72.620943	109.788183	7	theta2
-72.620943	113.385901	7	theta2
-72.620943	116.983619	7	theta2
-72.620943	120.581337	2	theta2
-72.620943	124.179054	2	theta2
-72.620943	127.776772	5	theta2
-72.620943	131.374490	1	theta2
-72.620943	134.972208	0	theta2
-72.620943	138.569925	3	theta2
-72.620943	142.167643	0	theta2
-72.620943	145.765361	0	theta2
-72.620943	149.363079	1	theta2
-72.620943	152.960797	0	theta2
-72.620943	156.558514	1	theta2
-72.620943	160.156232	1	theta2
-72.620943	163.753950	0	theta2
-72.620943	167.351668	0	theta2
-72.620943	170.949385	0	theta2
-72.620943	174.547103	0	theta2
-72.620943	178.144821	0	theta2
-69.572434	1.856651	8	theta2
-69.572434	5.454368	24	theta2
-69.572434	9.052086	29	theta2
-69.572434	12.649804	45	theta2
-69.572434	16.247522	66	theta2
-69.572434	19.845239	86	theta2
-69.572434	23.442957	87	theta2
-69.572434	27.040675	109	theta2
-69.572434	30.638393	123	theta2
-69.572434	34.236110	138	theta2
-69.572434	37.833828	161	theta2
-69.572434	41.431546	171	theta2
-69.572434	45.029264	214	theta2
-69.572434	48.626981	239	theta2
-69.572434	52.224699	253	theta2
-69.572434	55.822417	256	theta2
-69.572434	59.420135	294	theta2
-69.572434	63.017853	329	theta2
-69.572434	66.615570	340	theta2
-69.572434	70.213288	348	theta2
-69.572434	73.811006	364	theta2
-69.572434	77.408724	353	theta2
-69.572434	81.006441	378	theta2
-69.572434	84.604159	382	theta2
-69.572434	88.201877	366	theta2
-69.572434	91.799595	342	theta2
-69.572434	95.397312	324	theta2
-69.572434	98.995030	268	theta2
-69.572434	102.592748	246	theta2
-69.572434	106.190466	225	theta2
-69.572434	109.788183	211	theta2
-69.572434	113.385901	206	theta2
-69.572434	116.983619	165	theta2
-69.572434	120.581337	145	theta2
-69.572434	124.179054	111	theta2
-69.572434	127.776772	119	theta2
-69.572434	131.374490	98	theta2
-69.572434	134.972208	89	theta2
-69.572434	138.569925	73	theta2
-69.572434	142.167643	65	theta2
-69.572434	145.765361	57	theta2
-69.572434	149.363079	35	theta2
-69.572434	152.960797	47	theta2
-69.572434	156.558514	26	theta2
-69.572434	160.156232	23	theta2
-69.572434	163.753950	32	theta2
-69.572434	167.351668	10	theta2
-69.572434	170.949385	16	theta2
-69.572434	174.547103	9	theta2
-69.572434	178.144821	4	theta2
-66.523925	1.856651	37	theta2
-66.523925	5.454368	157	theta2
-66.523925	9.052086	222	theta2
-66.523925	12.649804	362	theta2
-66.523925	16.247522	417	theta2
-66.523925	19.845239	540	theta2
-66.523925	23.442957	605	theta2
-66.523925	27.040675	712	theta2
