z_center	theta_center	count	angle_type
-73.587730	1.827891	0	theta2
-73.587730	5.426512	0	theta2
-73.587730	9.025134	0	theta2
-73.587730	12.623755	1	theta2
-73.587730	16.222376	0	theta2
-73.587730	19.820997	0	theta2
-73.587730	23.419618	0	theta2
-73.587730	27.018239	0	theta2
-73.587730	30.616860	0	theta2
-73.587730	34.215481	1	theta2
-73.587730	37.814103	3	theta2
-73.587730	41.412724	1	theta2
-73.587730	45.011345	2	theta2
-73.587730	48.609966	4	theta2
-73.587730	52.208587	1	theta2
-73.587730	55.807208	3	theta2
-73.587730	59.405829	3	theta2
-73.587730	63.004450	3	theta2
-73.587730	66.603072	8	theta2
-73.587730	70.201693	3	theta2
-73.587730	73.800314	6	theta2
-73.587730	77.398935	4	theta2
-73.587730	80.997556	2	theta2
-73.587730	84.596177	3	theta2
-73.587730	88.194798	5	theta2
-73.587730	91.793419	0	theta2
-73.587730	95.392041	4	theta2
-73.587730	98.990662	3	theta2
-73.587730	102.589283	1	theta2
-73.587730	106.187904	0	theta2
-73.587730	109.786525	2	theta2
-73.587730	113.385146	0	theta2
-73.587730	116.983767	2	theta2
-73.587730	120.582388	1	theta2
-73.587730	124.181009	0	theta2
-73.587730	127.779631	0	theta2
-73.587730	131.378252	2	theta2
-73.587730	134.976873	0	theta2
-73.587730	138.575494	0	theta2
-73.587730	142.174115	0	theta2
-73.587730	145.772736	0	theta2
-73.587730	149.371357	0	theta2
-73.587730	152.969978	0	theta2
-73.587730	156.568600	0	theta2
-73.587730	160.167221	0	theta2
-73.587730	163.765842	0	theta2
-73.587730	167.364463	0	theta2
-73.587730	170.963084	0	theta2
-73.587730	174.561705	0	theta2
-73.587730	178.160326	0	theta2
-70.524641	1.827891	0	theta2
-70.524641	5.426512	8	theta2
-70.524641	9.025134	6	theta2
-70.524641	12.623755	14	theta2
-70.524641	16.222376	19	theta2
-70.524641	19.820997	33	theta2
-70.524641	23.419618	37	theta2
-70.524641	27.018239	34	theta2
-70.524641	30.616860	58	theta2
-70.524641	34.215481	56	theta2
-70.524641	37.814103	52	theta2
-70.524641	41.412724	80	theta2
-70.524641	45.011345	86	theta2
-70.524641	48.609966	79	theta2
-70.524641	52.208587	142	theta2
-70.524641	55.807208	119	theta2
-70.524641	59.405829	138	theta2
-70.524641	63.004450	144	theta2
-70.524641	66.603072	153	theta2
-70.524641	70.201693	163	theta2
-70.524641	73.800314	182	theta2
-70.524641	77.398935	186	theta2
-70.524641	80.997556	196	theta2
-70.524641	84.596177	144	theta2
-70.524641	88.194798	152	theta2
-70.524641	91.793419	113	theta2
-70.524641	95.392041	111	theta2
-70.524641	98.990662	103	theta2
-70.524641	102.589283	104	theta2
-70.524641	106.187904	94	theta2
-70.524641	109.786525	71	theta2
-70.524641	113.385146	68	theta2
-70.524641	116.983767	53	theta2
-70.524641	120.582388	42	theta2
-70.524641	124.181009	46	theta2
-70.524641	127.779631	47	theta2
-70.524641	131.378252	28	theta2
-70.524641	134.976873	24	theta2
-70.524641	138.575494	21	theta2
-70.524641	142.174115	23	theta2
-70.524641	145.772736	13	theta2
-70.524641	149.371357	11	theta2
-70.524641	152.969978	8	theta2
-70.524641	156.568600	6	theta2
-70.524641	160.167221	9	theta2
-70.524641	163.765842	4	theta2
-70.524641	167.364463	7	theta2
-70.524641	170.963084	4	theta2
-70.524641	174.561705	3	theta2
-70.524641	178.160326	0	theta2
-67.461552	1.827891	17	theta2
-67.461552	5.426512	55	theta2
-67.461552	9.025134	126	theta2
-67.461552	12.623755	170	theta2
-67.461552	16.222376	239	theta2
-67.461552	19.820997	282	theta2
-67.461552	23.419618	368	theta2
-67.461552	27.018239	444	theta2
-67.461552	30.616860	477	theta2
-67.461552	34.215481	507	theta2
-67.461552	37.814103	591	theta2
-67.461552	41.412724	711	theta2
-67.461552	45.011345	761	theta2
-67.461552	48.609966	808	theta2
-67.461552	52.208587	894	theta2
-67.461552	55.807208	1068	theta2
-67.461552	59.405829	1031	theta2
-67.461552	63.004450	1144	theta2
-67.461552	66.603072	1195	theta2
-67.461552	70.201693	1234	theta2
-67.461552	73.800314	1220	theta2
-67.461552	77.398935	1166	theta2
-67.461552	80.997556	1269	theta2
-67.461552	84.596177	1162	theta2
-67.461552	88.194798	1155	theta2
-67.461552	91.793419	1115	theta2
-67.461552	95.392041	1036	theta2
-67.461552	98.990662	978	theta2
-67.461552	102.589283	883	theta2
-67.461552	106.187904	892	theta2
-67.461552	109.786525	764	theta2
-67.461552	113.385146	758	theta2
-67.461552	116.983767	664	theta2
-67.461552	120.582388	621	theta2
-67.461552	124.181009	594	theta2
-67.461552	127.779631	489	theta2
-67.461552	131.378252	430	theta2
-67.461552	134.976873	422	theta2
-67.461552	138.575494	349	theta2
-67.461552	142.174115	305	theta2
-67.461552	145.772736	276	theta2
-67.461552	149.371357	238	theta2
-67.461552	152.969978	200	theta2
-67.461552	156.568600	171	theta2
-67.461552	160.167221	133	theta2
-67.461552	163.765842	122	theta2
-67.461552	167.364463	87	theta2
-67.461552	170.963084	55	theta2
-67.461552	174.561705	33	theta2
-67.461552	178.160326	13	theta2
-64.398462	1.827891	79	theta2
-64.398462	5.426512	229	theta2
-64.398462	9.025134	330	theta2
-64.398462	12.623755	499	theta2
-64.398462	16.222376	640	theta2
-64.398462	19.820997	837	theta2
-64.398462	23.419618	933	theta2
-64.398462	27.018239	1076	theta2
-64.398462	30.616860	1237	theta2
-64.398462	34.215481	1328	theta2
-64.398462	37.814103	1488	theta2
-64.398462	41.412724	1667	theta2
-64.398462	45.011345	1773	theta2
-64.398462	48.609966	1933	theta2
-64.398462	52.208587	2083	theta2
-64.398462	55.807208	2110	theta2
-64.398462	59.405829	2152	theta2
-64.398462	63.004450	2386	theta2
-64.398462	66.603072	2392	theta2
-64.398462	70.201693	2488	theta2
-64.398462	73.800314	2514	theta2
-64.398462	77.398935	2523	theta2
-64.398462	80.997556	2542	theta2
-64.398462	84.596177	2516	theta2
-64.398462	88.194798	2541	theta2
-64.398462	91.793419	2576	theta2
