z_center	theta_center	count	angle_type
-62.978013	41.406687	1988	theta2
-62.978013	45.006175	2172	theta2
-62.978013	48.605662	2266	theta2
-62.978013	52.205150	2374	theta2
-62.978013	55.804637	2590	theta2
-62.978013	59.404125	2647	theta2
-62.978013	63.003613	2672	theta2
-62.978013	66.603100	2851	theta2
-62.978013	70.202588	2866	theta2
-62.978013	73.802075	2929	theta2
-62.978013	77.401563	2957	theta2
-62.978013	81.001051	3022	theta2
-62.978013	84.600538	3031	theta2
-62.978013	88.200026	3038	theta2
-62.978013	91.799513	2925	theta2
-62.978013	95.399001	3100	theta2
-62.978013	98.998489	2870	theta2
-62.978013	102.597976	2813	theta2
-62.978013	106.197464	2785	theta2
-62.978013	109.796951	2809	theta2
-62.978013	113.396439	2709	theta2
-62.978013	116.995927	2545	theta2
-62.978013	120.595414	2444	theta2
-62.978013	124.194902	2344	theta2
-62.978013	127.794389	2130	theta2
-62.978013	131.393877	2161	theta2
-62.978013	134.993365	1989	theta2
-62.978013	138.592852	1830	theta2
-62.978013	142.192340	1665	theta2
-62.978013	145.791828	1546	theta2
-62.978013	149.391315	1415	theta2
-62.978013	152.990803	1168	theta2
-62.978013	156.590290	1066	theta2
-62.978013	160.189778	930	theta2
-62.978013	163.789266	766	theta2
-62.978013	167.388753	563	theta2
-62.978013	170.988241	372	theta2
-62.978013	174.587728	250	theta2
-62.978013	178.187216	94	theta2
-59.956442	1.812323	113	theta2
-59.956442	5.411811	296	theta2
-59.956442	9.011298	521	theta2
-59.956442	12.610786	697	theta2
-59.956442	16.210274	865	theta2
-59.956442	19.809761	1059	theta2
-59.956442	23.409249	1238	theta2
-59.956442	27.008736	1466	theta2
-59.956442	30.608224	1565	theta2
-59.956442	34.207712	1706	theta2
-59.956442	37.807199	1791	theta2
-59.956442	41.406687	2188	theta2
-59.956442	45.006175	2198	theta2
-59.956442	48.605662	2448	theta2
-59.956442	52.205150	2491	theta2
-59.956442	55.804637	2533	theta2
-59.956442	59.404125	2690	theta2
-59.956442	63.003613	2766	theta2
-59.956442	66.603100	3014	theta2
-59.956442	70.202588	2967	theta2
-59.956442	73.802075	3047	theta2
-59.956442	77.401563	3055	theta2
-59.956442	81.001051	3152	theta2
-59.956442	84.600538	3088	theta2
-59.956442	88.200026	3201	theta2
-59.956442	91.799513	3142	theta2
-59.956442	95.399001	3125	theta2
-59.956442	98.998489	3011	theta2
-59.956442	102.597976	3099	theta2
-59.956442	106.197464	2957	theta2
-59.956442	109.796951	3004	theta2
-59.956442	113.396439	2883	theta2
-59.956442	116.995927	2756	theta2
-59.956442	120.595414	2715	theta2
-59.956442	124.194902	2559	theta2
-59.956442	127.794389	2513	theta2
-59.956442	131.393877	2268	theta2
-59.956442	134.993365	2226	theta2
-59.956442	138.592852	2004	theta2
-59.956442	142.192340	1901	theta2
-59.956442	145.791828	1810	theta2
-59.956442	149.391315	1634	theta2
-59.956442	152.990803	1427	theta2
-59.956442	156.590290	1250	theta2
-59.956442	160.189778	1066	theta2
-59.956442	163.789266	844	theta2
-59.956442	167.388753	638	theta2
-59.956442	170.988241	450	theta2
-59.956442	174.587728	308	theta2
-59.956442	178.187216	87	theta2
-56.934872	1.812323	100	theta2
-56.934872	5.411811	301	theta2
-56.934872	9.011298	465	theta2
-56.934872	12.610786	691	theta2
-56.934872	16.210274	838	theta2
-56.934872	19.809761	1039	theta2
-56.934872	23.409249	1233	theta2
-56.934872	27.008736	1403	theta2
-56.934872	30.608224	1552	theta2
-56.934872	34.207712	1762	theta2
-56.934872	37.807199	1919	theta2
-56.934872	41.406687	2092	theta2
-56.934872	45.006175	2237	theta2
-56.934872	48.605662	2300	theta2
-56.934872	52.205150	2455	theta2
-56.934872	55.804637	2592	theta2
-56.934872	59.404125	2701	theta2
-56.934872	63.003613	2867	theta2
-56.934872	66.603100	2852	theta2
-56.934872	70.202588	2998	theta2
-56.934872	73.802075	2994	theta2
-56.934872	77.401563	3023	theta2
-56.934872	81.001051	3076	theta2
-56.934872	84.600538	3052	theta2
-56.934872	88.200026	3083	theta2
-56.934872	91.799513	3132	theta2
-56.934872	95.399001	3053	theta2
-56.934872	98.998489	3101	theta2
-56.934872	102.597976	3032	theta2
-56.934872	106.197464	2960	theta2
-56.934872	109.796951	2916	theta2
-56.934872	113.396439	2861	theta2
-56.934872	116.995927	2790	theta2
-56.934872	120.595414	2627	theta2
-56.934872	124.194902	2600	theta2
-56.934872	127.794389	2493	theta2
-56.934872	131.393877	2283	theta2
-56.934872	134.993365	2247	theta2
-56.934872	138.592852	2037	theta2
-56.934872	142.192340	1928	theta2
-56.934872	145.791828	1777	theta2
-56.934872	149.391315	1642	theta2
-56.934872	152.990803	1439	theta2
-56.934872	156.590290	1260	theta2
-56.934872	160.189778	1039	theta2
-56.934872	163.789266	899	theta2
-56.934872	167.388753	630	theta2
-56.934872	170.988241	528	theta2
-56.934872	174.587728	309	theta2
-56.934872	178.187216	110	theta2
-53.913301	1.812323	103	theta2
-53.913301	5.411811	307	theta2
-53.913301	9.011298	499	theta2
-53.913301	12.610786	704	theta2
-53.913301	16.210274	879	theta2
-53.913301	19.809761	1030	theta2
-53.913301	23.409249	1251	theta2
-53.913301	27.008736	1383	theta2
-53.913301	30.608224	1575	theta2
-53.913301	34.207712	1758	theta2
-53.913301	37.807199	1855	theta2
-53.913301	41.406687	2049	theta2
-53.913301	45.006175	2214	theta2
-53.913301	48.605662	2294	theta2
-53.913301	52.205150	2435	theta2
-53.913301	55.804637	2537	theta2
-53.913301	59.404125	2702	theta2
-53.913301	63.003613	2803	theta2
-53.913301	66.603100	2904	theta2
-53.913301	70.202588	2850	theta2
-53.913301	73.802075	3047	theta2
-53.913301	77.401563	2962	theta2
-53.913301	81.001051	3088	theta2
-53.913301	84.600538	3126	theta2
-53.913301	88.200026	3142	theta2
-53.913301	91.799513	3136	theta2
-53.913301	95.399001	3058	theta2
-53.913301	98.998489	3098	theta2
-53.913301	102.597976	2937	theta2
-53.913301	106.197464	2842	theta2
-53.913301	109.796951	2943	theta2
-53.913301	113.396439	2710	theta2
-53.913301	116.995927	2672	theta2
-53.913301	120.595414	2709	theta2
-53.913301	124.194902	2615	theta2
-53.913301	127.794389	2416	theta2
-53.913301	131.393877	2298	theta2
-53.913301	134.993365	2234	theta2
-53.913301	138.592852	1999	theta2
-53.913301	142.192340	1892	theta2
-53.913301	145.791828	1709	theta2
-53.913301	149.391315	1533	theta2
-53.913301	152.990803	1492	theta2
-53.913301	156.590290	1234	theta2
-53.913301	160.189778	1047	theta2
-53.913301	163.789266	863	theta2
-53.913301	167.388753	693	theta2
-53.913301	170.988241	471	theta2
-53.913301	174.587728	289	theta2
-53.913301	178.187216	92	theta2
-50.891730	1.812323	105	theta2
-50.891730	5.411811	278	theta2
-50.891730	9.011298	449	theta2
-50.891730	12.610786	664	theta2
-50.891730	16.210274	886	theta2
-50.891730	19.809761	1083	theta2
-50.891730	23.409249	1236	theta2
-50.891730	27.008736	1370	theta2
-50.891730	30.608224	1519	theta2
-50.891730	34.207712	1710	theta2
-50.891730	37.807199	1890	theta2
-50.891730	41.406687	1954	theta2
-50.891730	45.006175	2143	theta2
-50.891730	48.605662	2368	theta2
-50.891730	52.205150	2456	theta2
-50.891730	55.804637	2498	theta2
-50.891730	59.404125	2584	theta2
-50.891730	63.003613	2696	theta2
-50.891730	66.603100	2770	theta2
-50.891730	70.202588	2876	theta2
-50.891730	73.802075	2879	theta2
-50.891730	77.401563	2897	theta2
-50.891730	81.001051	3058	theta2
-50.891730	84.600538	3074	theta2
-50.891730	88.200026	3052	theta2
-50.891730	91.799513	3127	theta2
-50.891730	95.399001	2901	theta2
-50.891730	98.998489	2952	theta2
-50.891730	102.597976	3002	theta2
-50.891730	106.197464	2886	theta2
-50.891730	109.796951	2869	theta2
-50.891730	113.396439	2841	theta2
-50.891730	116.995927	2708	theta2
-50.891730	120.595414	2657	theta2
-50.891730	124.194902	2527	theta2
-50.891730	127.794389	2449	theta2
-50.891730	131.393877	2294	theta2
-50.891730	134.993365	2115	theta2
-50.891730	138.592852	2061	theta2
-50.891730	142.192340	1889	theta2
-50.891730	145.791828	1745	theta2
-50.891730	149.391315	1577	theta2
-50.891730	152.990803	1413	theta2
-50.891730	156.590290	1251	theta2
-50.891730	160.189778	1023	theta2
-50.891730	163.789266	843	theta2
-50.891730	167.388753	676	theta2
-50.891730	170.988241	506	theta2
-50.891730	174.587728	278	theta2
-50.891730	178.187216	96	theta2
-47.870160	1.812323	93	theta2
-47.870160	5.411811	296	theta2
-47.870160	9.011298	484	theta2
-47.870160	12.610786	684	theta2
-47.870160	16.210274	830	theta2
-47.870160	19.809761	1067	theta2
-47.870160	23.409249	1150	theta2
-47.870160	27.008736	1385	theta2
-47.870160	30.608224	1588	theta2
-47.870160	34.207712	1690	theta2
-47.870160	37.807199	1802	theta2
-47.870160	41.406687	2043	theta2
-47.870160	45.006175	2125	theta2
-47.870160	48.605662	2302	theta2
-47.870160	52.205150	2528	theta2
-47.870160	55.804637	2491	theta2
-47.870160	59.404125	2658	theta2
-47.870160	63.003613	2684	theta2
-47.870160	66.603100	2837	theta2
-47.870160	70.202588	2904	theta2
-47.870160	73.802075	2899	theta2
-47.870160	77.401563	2936	theta2
-47.870160	81.001051	3047	theta2
-47.870160	84.600538	2998	theta2
-47.870160	88.200026	3082	theta2
-47.870160	91.799513	3026	theta2
-47.870160	95.399001	3077	theta2
-47.870160	98.998489	2891	theta2
-47.870160	102.597976	3003	theta2
-47.870160	106.197464	2944	theta2
-47.870160	109.796951	2918	theta2
-47.870160	113.396439	2771	theta2
-47.870160	116.995927	2660	theta2
-47.870160	120.595414	2611	theta2
-47.870160	124.194902	2491	theta2
-47.870160	127.794389	2415	theta2
-47.870160	131.393877	2290	theta2
-47.870160	134.993365	2080	theta2
-47.870160	138.592852	2093	theta2
-47.870160	142.192340	1830	theta2
-47.870160	145.791828	1700	theta2
-47.870160	149.391315	1529	theta2
-47.870160	152.990803	1393	theta2
-47.870160	156.590290	1212	theta2
-47.870160	160.189778	1012	theta2
-47.870160	163.789266	843	theta2
-47.870160	167.388753	683	theta2
-47.870160	170.988241	483	theta2
-47.870160	174.587728	290	theta2
-47.870160	178.187216	87	theta2
-44.848589	1.812323	81	theta2
-44.848589	5.411811	283	theta2
-44.848589	9.011298	448	theta2
-44.848589	12.610786	672	theta2
-44.848589	16.210274	816	theta2
-44.848589	19.809761	1025	theta2
