z	dens_1	dens_2	dens_3	dens_moy	se_moy
12.500000	0.930000	0.930000	0.930000	0.930000	0.000000
13.500000	1.000000	1.000000	1.000000	1.000000	0.000000
14.500000	1.090000	1.090000	1.100000	1.093333	0.003333
15.500000	1.180000	1.180000	1.180000	1.180000	0.000000
16.500000	1.250000	1.250000	1.250000	1.250000	0.000000
17.500000	1.300000	1.300000	1.300000	1.300000	0.000000
18.500000	1.340000	1.340000	1.340000	1.340000	0.000000
19.500000	1.370000	1.370000	1.370000	1.370000	0.000000
20.500000	1.350000	1.350000	1.350000	1.350000	0.000000
21.500000	1.290000	1.290000	1.290000	1.290000	0.000000
22.500000	1.200000	1.200000	1.190000	1.196667	0.003333
23.500000	1.120000	1.120000	1.110000	1.116667	0.003333
24.500000	1.060000	1.060000	1.060000	1.060000	0.000000
25.500000	1.030000	1.030000	1.030000	1.030000	0.000000
26.500000	1.010000	1.010000	1.010000	1.010000	0.000000
27.500000	1.000000	1.010000	1.000000	1.003333	0.003333
28.500000	1.000000	1.000000	1.000000	1.000000	0.000000
29.500000	1.000000	1.000000	1.000000	1.000000	0.000000
30.500000	1.000000	1.000000	1.000000	1.000000	0.000000
31.500000	1.000000	1.000000	1.000000	1.000000	0.000000
32.500000	1.000000	1.000000	1.000000	1.000000	0.000000
33.500000	1.000000	1.000000	1.000000	1.000000	0.000000
34.500000	1.000000	1.000000	1.000000	1.000000	0.000000
35.500000	1.000000	1.000000	1.000000	1.000000	0.000000
36.500000	1.000000	1.000000	1.000000	1.000000	0.000000
37.500000	1.000000	1.000000	1.000000	1.000000	0.000000
38.500000	1.000000	1.000000	1.000000	1.000000	0.000000
39.500000	1.000000	1.000000	1.000000	1.000000	0.000000
40.500000	1.000000	1.000000	1.000000	1.000000	0.000000
41.500000	1.000000	1.000000	1.000000	1.000000	0.000000
42.500000	1.000000	1.000000	1.000000	1.000000	0.000000
43.500000	1.000000	1.000000	1.000000	1.000000	0.000000
44.500000	1.000000	1.000000	1.000000	1.000000	0.000000
45.500000	1.000000	1.000000	1.000000	1.000000	0.000000
46.500000	1.000000	1.000000	1.000000	1.000000	0.000000
47.500000	1.000000	1.000000	1.000000	1.000000	0.000000
48.500000	1.000000	1.000000	1.000000	1.000000	0.000000
49.500000	1.000000	1.000000	1.000000	1.000000	0.000000
50.500000	1.000000	1.000000	1.000000	1.000000	0.000000
51.500000	1.000000	1.000000	1.000000	1.000000	0.000000
52.500000	1.000000	1.000000	1.000000	1.000000	0.000000
53.500000	1.000000	1.000000	1.000000	1.000000	0.000000
54.500000	1.000000	1.000000	1.000000	1.000000	0.000000
55.500000	1.000000	1.000000	1.000000	1.000000	0.000000
56.500000	1.000000	1.000000	1.000000	1.000000	0.000000
57.500000	1.000000	1.000000	1.000000	1.000000	0.000000
58.500000	1.000000	1.000000	1.000000	1.000000	0.000000
59.500000	1.000000	1.000000	1.000000	1.000000	0.000000
60.500000	1.000000	1.000000	1.000000	1.000000	0.000000
61.500000	1.000000	1.000000	1.000000	1.000000	0.000000
62.500000	1.000000	1.000000	0.990000	0.996667	0.003333
63.500000	0.990000	0.980000	0.970000	0.980000	0.005774
64.500000	0.940000	0.950000	0.930000	0.940000	0.005774
65.500000	0.850000	0.860000	0.830000	0.846667	0.008819
66.500000	0.690000	0.700000	0.670000	0.686667	0.008819
67.500000	0.480000	0.490000	0.470000	0.480000	0.005774
68.500000	0.290000	0.270000	0.270000	0.276667	0.006667
69.500000	0.130000	0.120000	0.120000	0.123333	0.003333
70.500000	0.050000	0.040000	0.040000	0.043333	0.003333
71.500000	0.010000	0.010000	0.010000	0.010000	0.000000
72.500000	0.000000	0.000000	0.000000	0.000000	0.000000
73.500000	0.000000	0.000000	0.000000	0.000000	0.000000
