z	dens_1	dens_2	dens_3	dens_moy	se_moy
27.500000	0.970000	0.970000	0.970000	0.970000	0.000000
28.500000	0.980000	0.980000	0.980000	0.980000	0.000000
29.500000	0.980000	0.980000	0.980000	0.980000	0.000000
30.500000	0.980000	0.980000	0.990000	0.983333	0.003333
31.500000	0.980000	0.990000	0.990000	0.986667	0.003333
32.500000	0.980000	0.980000	0.990000	0.983333	0.003333
33.500000	0.980000	0.980000	0.980000	0.980000	0.000000
34.500000	0.980000	0.990000	0.990000	0.986667	0.003333
35.500000	0.990000	0.980000	0.990000	0.986667	0.003333
36.500000	0.980000	0.980000	0.980000	0.980000	0.000000
37.500000	0.980000	0.980000	0.990000	0.983333	0.003333
38.500000	0.990000	0.980000	0.990000	0.986667	0.003333
39.500000	0.980000	0.980000	0.980000	0.980000	0.000000
40.500000	0.980000	0.980000	0.990000	0.983333	0.003333
41.500000	0.980000	0.980000	0.980000	0.980000	0.000000
42.500000	0.990000	0.980000	0.980000	0.983333	0.003333
43.500000	0.980000	0.990000	0.990000	0.986667	0.003333
44.500000	0.990000	0.980000	0.980000	0.983333	0.003333
45.500000	0.980000	0.980000	0.990000	0.983333	0.003333
46.500000	0.980000	0.980000	0.980000	0.980000	0.000000
47.500000	0.980000	0.980000	0.980000	0.980000	0.000000
48.500000	0.990000	0.980000	0.990000	0.986667	0.003333
49.500000	0.990000	0.980000	0.980000	0.983333	0.003333
50.500000	0.980000	0.990000	0.990000	0.986667	0.003333
51.500000	0.980000	0.980000	0.990000	0.983333	0.003333
52.500000	0.980000	0.990000	0.990000	0.986667	0.003333
53.500000	0.980000	0.980000	0.990000	0.983333	0.003333
54.500000	0.980000	0.980000	0.990000	0.983333	0.003333
55.500000	0.990000	0.990000	0.980000	0.986667	0.003333
56.500000	0.990000	0.980000	0.990000	0.986667	0.003333
57.500000	0.990000	0.990000	0.990000	0.990000	0.000000
58.500000	0.980000	0.980000	0.980000	0.980000	0.000000
59.500000	0.990000	0.990000	0.990000	0.990000	0.000000
60.500000	0.990000	0.980000	0.990000	0.986667	0.003333
61.500000	0.980000	0.990000	0.980000	0.983333	0.003333
62.500000	0.980000	0.980000	0.980000	0.980000	0.000000
63.500000	0.970000	0.980000	0.980000	0.976667	0.003333
64.500000	0.950000	0.960000	0.960000	0.956667	0.003333
65.500000	0.900000	0.920000	0.920000	0.913333	0.006667
66.500000	0.810000	0.850000	0.830000	0.830000	0.011547
67.500000	0.670000	0.720000	0.680000	0.690000	0.015275
68.500000	0.500000	0.550000	0.500000	0.516667	0.016667
69.500000	0.330000	0.360000	0.310000	0.333333	0.014530
70.500000	0.180000	0.200000	0.160000	0.180000	0.011547
71.500000	0.080000	0.090000	0.070000	0.080000	0.005774
72.500000	0.030000	0.040000	0.030000	0.033333	0.003333
73.500000	0.010000	0.010000	0.010000	0.010000	0.000000
74.500000	0.000000	0.000000	0.000000	0.000000	0.000000
75.500000	0.000000	0.000000	0.000000	0.000000	0.000000
76.500000	0.000000	0.000000	0.000000	0.000000	0.000000
