z	dens_1	dens_2	dens_3	dens_moy	se_moy
-16.500000	1.280000	1.280000	1.280000	1.280000	0.000000
-15.500000	1.230000	1.230000	1.230000	1.230000	0.000000
-14.500000	1.170000	1.170000	1.170000	1.170000	0.000000
-13.500000	1.100000	1.100000	1.100000	1.100000	0.000000
-12.500000	1.030000	1.030000	1.030000	1.030000	0.000000
-11.500000	0.970000	0.970000	0.970000	0.970000	0.000000
-10.500000	0.920000	0.920000	0.920000	0.920000	0.000000
-9.500000	0.890000	0.890000	0.890000	0.890000	0.000000
-8.500000	0.870000	0.870000	0.870000	0.870000	0.000000
-7.500000	0.850000	0.850000	0.850000	0.850000	0.000000
-6.500000	0.840000	0.840000	0.840000	0.840000	0.000000
-5.500000	0.820000	0.820000	0.820000	0.820000	0.000000
-4.500000	0.800000	0.800000	0.800000	0.800000	0.000000
-3.500000	0.770000	0.770000	0.770000	0.770000	0.000000
-2.500000	0.740000	0.740000	0.740000	0.740000	0.000000
-1.500000	0.710000	0.710000	0.710000	0.710000	0.000000
-0.500000	0.700000	0.700000	0.700000	0.700000	0.000000
0.500000	0.700000	0.700000	0.700000	0.700000	0.000000
1.500000	0.710000	0.710000	0.710000	0.710000	0.000000
2.500000	0.740000	0.740000	0.740000	0.740000	0.000000
3.500000	0.770000	0.770000	0.770000	0.770000	0.000000
4.500000	0.800000	0.800000	0.800000	0.800000	0.000000
5.500000	0.820000	0.820000	0.820000	0.820000	0.000000
6.500000	0.840000	0.840000	0.840000	0.840000	0.000000
7.500000	0.850000	0.850000	0.850000	0.850000	0.000000
8.500000	0.870000	0.860000	0.860000	0.863333	0.003333
9.500000	0.890000	0.890000	0.890000	0.890000	0.000000
10.500000	0.920000	0.920000	0.920000	0.920000	0.000000
11.500000	0.970000	0.970000	0.970000	0.970000	0.000000
12.500000	1.030000	1.030000	1.030000	1.030000	0.000000
13.500000	1.100000	1.100000	1.100000	1.100000	0.000000
14.500000	1.170000	1.170000	1.170000	1.170000	0.000000
15.500000	1.230000	1.230000	1.230000	1.230000	0.000000
16.500000	1.280000	1.280000	1.280000	1.280000	0.000000
17.500000	1.310000	1.310000	1.320000	1.313333	0.003333
18.500000	1.330000	1.330000	1.330000	1.330000	0.000000
19.500000	1.320000	1.320000	1.330000	1.323333	0.003333
20.500000	1.280000	1.280000	1.280000	1.280000	0.000000
21.500000	1.210000	1.210000	1.210000	1.210000	0.000000
22.500000	1.140000	1.140000	1.130000	1.136667	0.003333
23.500000	1.070000	1.080000	1.070000	1.073333	0.003333
24.500000	1.040000	1.040000	1.030000	1.036667	0.003333
25.500000	1.020000	1.020000	1.020000	1.020000	0.000000
26.500000	1.010000	1.010000	1.010000	1.010000	0.000000
27.500000	1.000000	1.000000	1.000000	1.000000	0.000000
28.500000	1.000000	1.000000	1.000000	1.000000	0.000000
29.500000	1.000000	1.000000	1.000000	1.000000	0.000000
30.500000	1.000000	1.000000	1.000000	1.000000	0.000000
31.500000	1.000000	1.000000	1.000000	1.000000	0.000000
32.500000	1.000000	1.000000	1.000000	1.000000	0.000000
33.500000	1.000000	1.000000	1.000000	1.000000	0.000000
34.500000	1.000000	1.000000	1.000000	1.000000	0.000000
35.500000	1.000000	1.000000	1.000000	1.000000	0.000000
36.500000	1.000000	1.000000	1.000000	1.000000	0.000000
37.500000	1.000000	1.000000	1.000000	1.000000	0.000000
38.500000	1.000000	1.000000	1.000000	1.000000	0.000000
39.500000	1.000000	1.000000	1.000000	1.000000	0.000000
40.500000	1.000000	1.000000	1.000000	1.000000	0.000000
41.500000	1.000000	1.000000	1.000000	1.000000	0.000000
42.500000	1.000000	1.000000	1.000000	1.000000	0.000000
43.500000	1.000000	1.000000	1.000000	1.000000	0.000000
44.500000	1.000000	1.000000	1.000000	1.000000	0.000000
45.500000	1.000000	1.000000	1.000000	1.000000	0.000000
46.500000	1.000000	1.000000	1.000000	1.000000	0.000000
47.500000	1.000000	1.000000	1.000000	1.000000	0.000000
48.500000	1.000000	1.000000	1.000000	1.000000	0.000000
49.500000	1.000000	1.000000	1.000000	1.000000	0.000000
50.500000	1.000000	1.000000	1.000000	1.000000	0.000000
51.500000	1.000000	1.000000	1.000000	1.000000	0.000000
52.500000	1.000000	1.000000	1.000000	1.000000	0.000000
53.500000	1.000000	1.000000	1.000000	1.000000	0.000000
54.500000	1.000000	1.000000	1.000000	1.000000	0.000000
55.500000	1.000000	1.000000	1.000000	1.000000	0.000000
