name	apl	std_error
glyd	65.1074	0.0454
popc	64.6108	0.0415
sca	65.6700	0.0439
scc	66.5022	0.0435
sccm	64.0251	0.0428
scd	64.0648	0.0431
scdn	66.6382	0.0470
sce	63.9774	0.0433
scen	68.6731	0.0480
scf	67.4529	0.0446
schd	64.9052	0.0481
sche	64.7787	0.0426
schp	64.4031	0.0435
sci	66.4380	0.0428
sck	65.6993	0.0454
sckn	70.0494	0.0523
scl	66.5520	0.0435
scm	67.0398	0.0437
scn	64.6994	0.0462
scp	68.5801	0.0512
scq	65.6986	0.0466
scr	67.4015	0.0485
scrn	71.2695	0.0483
scs	64.7956	0.0449
sct	65.4098	0.0432
scv	66.3128	0.0421
scw	70.1542	0.0436
scy	69.2871	0.0433
scym	64.7408	0.0456
