#section	x-1	y-1	z-1	apl-1	x-2	y-2	z-2	apl-2	x-3	y-3	z-3	apl-3
1	45.209922	45.209922	139.546984	63.873033	46.201932	46.201932	134.288441	66.706828	46.399060	46.399060	133.174436	67.277273
2	45.727348	45.727348	137.267895	65.343449	46.010331	46.010331	134.266295	66.154704	45.721936	45.721936	136.112395	65.327982
3	45.763118	45.763118	135.977421	65.445719	47.144383	47.144383	128.220060	69.456026	46.390256	46.390256	132.995739	67.251745
4	45.519847	45.519847	137.831032	64.751764	46.341192	46.341192	133.259105	67.109566	46.052028	46.052028	135.518706	66.274666
5	45.292396	45.292396	139.590700	64.106285	46.993505	46.993505	129.092205	69.012172	46.334742	46.334742	132.982478	67.090885
6	45.112134	45.112134	139.766509	63.597020	46.297978	46.297978	133.545275	66.984462	45.587956	45.587956	137.630312	64.945680
7	45.356454	45.356454	139.268115	64.287746	45.691512	45.691512	136.689548	65.241072	45.758156	45.758156	136.768060	65.431527
8	44.879732	44.879732	142.127239	62.943448	45.814104	45.814104	136.081627	65.591629	45.431820	45.431820	138.012430	64.501571
9	45.793946	45.793946	136.105883	65.533923	46.167194	46.167194	134.576849	66.606556	45.642417	45.642417	137.499643	65.100945
10	44.945613	44.945613	141.470726	63.128378	45.618402	45.618402	137.435238	65.032457	45.590251	45.590251	136.971192	64.952219
11	45.232537	45.232537	139.471152	63.936951	45.491300	45.491300	138.299902	64.670574	45.161766	45.161766	139.444924	63.737036
12	45.757545	45.757545	135.845835	65.429779	46.326827	46.326827	133.569713	67.067966	45.336673	45.336673	139.288275	64.231684
13	45.269522	45.269522	138.505390	64.041552	45.478137	45.478137	138.142322	64.633155	45.495185	45.495185	137.874373	64.681620
14	45.796451	45.796451	137.314811	65.541092	44.895187	44.895187	141.537425	62.986806	46.220001	46.220001	133.660345	66.759016
15	45.213131	45.213131	139.280664	63.882100	44.488058	44.488058	145.603118	61.849605	46.716268	46.716268	131.441816	68.200304
16	45.605559	45.605559	137.718049	64.995843	45.517189	45.517189	137.836033	64.744202	46.247760	46.247760	134.127947	66.839228
17	44.840720	44.840720	141.290044	62.834068	44.543983	44.543983	144.085675	62.005199	46.309801	46.309801	132.961324	67.018678
