#section	x-1	y-1	z-1	apl-1	x-2	y-2	z-2	apl-2	x-3	y-3	z-3	apl-3
1	44.400685	44.400685	145.033940	61.606902	45.010252	45.010252	140.791127	63.310086	44.622861	44.622861	143.611217	62.224991
2	45.204199	45.204199	139.927340	63.856862	44.467363	44.467363	144.220280	61.792074	44.724062	44.724062	142.359934	62.507553
3	44.233747	44.233747	146.414794	61.144511	44.758386	44.758386	143.130511	62.603535	44.668647	44.668647	143.006115	62.352749
4	43.637434	43.637434	150.237168	59.507052	45.197204	45.197204	139.681183	63.837102	45.225083	45.225083	139.642820	63.915879
5	44.978444	44.978444	140.938297	63.220637	45.409580	45.409580	138.993518	64.438435	45.903082	45.903082	135.306920	65.846654
6	45.352258	45.352258	138.888696	64.275853	45.274747	45.274747	138.733610	64.056334	45.159551	45.159551	140.430452	63.730783
7	44.544232	44.544232	143.461301	62.005895	45.842752	45.842752	136.337696	65.673686	45.958517	45.958517	135.263446	66.005791
8	44.907403	44.907403	142.142118	63.021089	44.731005	44.731005	143.012826	62.526962	44.949051	44.949051	141.613648	63.138037
9	44.904227	44.904227	141.325231	63.012175	45.389532	45.389532	139.079274	64.381550	45.781386	45.781386	135.830780	65.497977
10	44.047442	44.047442	146.949119	60.630536	44.946170	44.946170	141.382395	63.129943	45.256237	45.256237	139.509441	64.003970
11	44.787911	44.787911	141.868771	62.686155	45.786742	45.786742	136.088583	65.513304	44.534023	44.534023	144.231822	61.977476
12	45.721626	45.721626	137.243837	65.327096	46.161685	46.161685	134.345546	66.590661	44.816645	44.816645	142.203402	62.766615
13	44.499986	44.499986	143.818232	61.882773	45.749822	45.749822	136.582323	65.407696	46.686089	46.686089	130.871293	68.112215
14	44.693560	44.693560	143.062200	62.422323	46.062461	46.062461	136.004227	66.304697	45.830349	45.830349	136.490314	65.638152
15	45.299339	45.299339	139.021157	64.125941	46.437686	46.437686	132.375996	67.389332	46.503522	46.503522	131.922848	67.580549
16	44.965679	44.965679	140.819039	63.184759	45.488179	45.488179	137.879873	64.661700	45.776793	45.776793	136.992986	65.484838
17	46.025257	46.025257	134.735636	66.197632	45.520455	45.520455	138.046023	64.753494	44.845557	44.845557	141.981923	62.847625
18	46.351655	46.351655	132.848464	67.139871	46.195276	46.195276	133.426518	66.687611	45.645401	45.645401	136.496789	65.109456
19	47.161026	47.161026	128.692635	69.505073	45.535460	45.535460	138.493921	64.796191	44.435817	44.435817	144.255329	61.704431
20	46.234912	46.234912	134.025459	66.802097	44.652248	44.652248	142.769265	62.306976	45.457495	45.457495	137.815399	64.574495
21	46.052228	46.052228	134.060502	66.275240	45.476628	45.476628	138.069898	64.628865	44.386225	44.386225	145.523832	61.566779
22	45.705485	45.705485	137.286273	65.280979	46.081811	46.081811	134.649381	66.360417	44.609952	44.609952	143.517940	62.188994
23	45.551987	45.551987	137.488282	64.843235	45.361788	45.361788	139.154704	64.302868	44.424317	44.424317	145.296937	61.672499
24	45.592224	45.592224	136.929568	64.957840	46.526370	46.526370	131.032499	67.646972	44.368821	44.368821	144.565711	61.518508
25	45.863519	45.863519	135.902899	65.733200	45.039773	45.039773	140.678965	63.393160	44.907990	44.907990	141.950504	63.022736
26	45.470944	45.470944	138.420392	64.612710	45.998404	45.998404	135.058443	66.120413	45.203220	45.203220	139.339348	63.854097
27	45.873880	45.873880	135.173206	65.762903	45.834493	45.834493	135.923724	65.650023	45.314430	45.314430	139.347524	64.168673
28	46.428348	46.428348	133.063120	67.362234	45.779457	45.779457	136.711965	65.492458	45.529616	45.529616	137.571019	64.779560
