#section    x     y    z
113   44.9288072214   44.9288072214   139.046326752
114   44.6550097712   44.6550097712   141.361403354
115   45.056590099   45.056590099   138.036325759
116   45.5646568626   45.5646568626   135.765098663
117   44.8543155973   44.8543155973   140.461483605
118   46.2351500189   46.2351500189   132.592978965
119   45.561081788   45.561081788   135.301981225
120   45.4434103307   45.4434103307   136.365940642
121   45.6788588154   45.6788588154   135.303822747
122   46.2870179091   46.2870179091   130.94513613
123   46.9881059661   46.9881059661   127.945487197
124   45.7945419074   45.7945419074   133.522169746
125   45.5654683784   45.5654683784   135.499135039
126   45.5590548398   45.5590548398   136.066851396
127   45.0867523254   45.0867523254   138.187500732
128   45.5898358118   45.5898358118   135.439891753
129   46.1036695797   46.1036695797   132.024205379
130   46.0448204777   46.0448204777   133.111939041
131   46.445770249   46.445770249   130.272590806
132   45.9383083813   45.9383083813   133.580394578
133   45.5655222649   45.5655222649   135.463855311
134   44.9132816174   44.9132816174   139.372107999
135   44.8587954085   44.8587954085   139.169810015
136   45.1760377019   45.1760377019   138.35140823
137   45.2161874147   45.2161874147   138.328145115
138   45.4380514617   45.4380514617   136.045128142
139   45.4631120916   45.4631120916   136.025062583
140   46.2902998575   46.2902998575   131.544223006
141   46.5391591245   46.5391591245   129.718401303
142   47.0136828613   47.0136828613   126.964592936
143   46.6988952911   46.6988952911   129.412731701
144   46.4011543909   46.4011543909   130.616970807
145   44.5708315675   44.5708315675   141.80282833
146   44.7834899483   44.7834899483   140.455507294
147   45.2799212566   45.2799212566   137.795702199
148   45.0722681769   45.0722681769   137.742551599
149   44.9878221098   44.9878221098   138.664971451
150   45.8051985362   45.8051985362   134.294727746
151   45.7977287143   45.7977287143   134.52490162
152   45.533606431   45.533606431   135.782667119
153   45.7986384513   45.7986384513   134.540733575
154   45.5514955245   45.5514955245   136.038936238
155   47.1114598173   47.1114598173   126.785862274
156   46.381514014   46.381514014   131.528743399
157   45.7689356333   45.7689356333   134.337050867
158   45.1166224229   45.1166224229   138.022074237
159   44.9166744498   44.9166744498   139.342520674
160   45.608691532   45.608691532   135.243411679
161   45.830054729   45.830054729   133.930272829
162   45.8944697332   45.8944697332   133.946931149
163   46.1911197098   46.1911197098   131.755907671
164   46.4940585812   46.4940585812   130.002115872
165   46.5698252436   46.5698252436   129.267604245
166   45.7905291063   45.7905291063   134.233941487
167   46.8557360365   46.8557360365   128.200861516
168   46.8218272242   46.8218272242   128.615607744
169   45.6583775631   45.6583775631   134.858463869
170   45.3153686493   45.3153686493   136.459126642
171   45.6203821759   45.6203821759   134.985093091
172   46.3516934345   46.3516934345   130.976565144
173   46.3345965514   46.3345965514   131.241287142
174   46.4192284913   46.4192284913   131.543083673
175   46.604339611   46.604339611   130.093375856
176   46.4714384213   46.4714384213   130.314241282
177   45.8210870198   45.8210870198   134.075373457
178   45.9785179297   45.9785179297   133.004938039
179   45.7705470134   45.7705470134   134.478371434
180   45.3881328122   45.3881328122   136.965231307
181   44.9626417991   44.9626417991   139.925967908
182   45.1485195215   45.1485195215   138.694399473
183   45.326616208   45.326616208   137.875224381
184   44.889599063   44.889599063   139.795374194
185   46.1579551928   46.1579551928   132.608480779
186   45.7929873531   45.7929873531   134.169735479
187   46.4195799532   46.4195799532   130.711574445
188   46.1558304962   46.1558304962   131.995082767
189   46.3073893738   46.3073893738   131.412471711
190   47.1761283985   47.1761283985   125.806651035
191   46.001212191   46.001212191   133.017667738
192   46.0333481536   46.0333481536   132.09009263
193   45.2195119476   45.2195119476   137.429244869
194   45.5979784425   45.5979784425   135.396200707
195   45.1907440864   45.1907440864   137.601747225
196   45.1662453527   45.1662453527   137.223605858
197   45.6735522372   45.6735522372   135.342898779
198   45.3064213304   45.3064213304   137.240140736
199   45.2353075365   45.2353075365   137.113329649
200   45.7461184839   45.7461184839   133.416550632
201   46.95415648   46.95415648   128.347597573
202   46.6407323229   46.6407323229   129.520540917
203   46.6047011719   46.6047011719   129.938533029
204   46.0366596772   46.0366596772   133.275450222
205   46.202058108   46.202058108   131.54876576
206   46.2706544851   46.2706544851   131.843148972
207   45.9921471591   45.9921471591   132.699643397
208   45.9918118063   45.9918118063   132.772649262
209   46.0211894173   46.0211894173   132.75772966
210   45.9264804051   45.9264804051   133.202223232
211   44.8402413105   44.8402413105   140.37570926
212   44.7165049764   44.7165049764   141.249982319
213   45.6031444297   45.6031444297   135.207465683
214   45.3155758902   45.3155758902   136.439177397
215   45.8971338318   45.8971338318   133.14852392
216   45.5393876771   45.5393876771   135.549132231
217   45.250404831   45.250404831   137.770888782
218   44.7008887653   44.7008887653   140.6732277
219   45.182967347   45.182967347   137.847070664
220   45.2949053435   45.2949053435   137.619165612
221   45.9109550608   45.9109550608   133.521444046
222   46.0419528802   46.0419528802   132.965237151
223   45.0367694585   45.0367694585   138.695470713
224   45.4076848587   45.4076848587   135.794171209
225   45.1149363933   45.1149363933   138.05205118
226   44.9316078927   44.9316078927   139.862597001
227   44.3222191454   44.3222191454   142.985389959
228   44.8813720383   44.8813720383   140.149619996
229   45.4975063406   45.4975063406   136.354997479
230   45.622628947   45.622628947   134.52788083
231   45.9578792404   45.9578792404   133.179830008
232   45.6984967375   45.6984967375   134.833802982
233   46.6251720497   46.6251720497   129.800921405
234   46.3571789826   46.3571789826   131.49131511
235   46.5980981475   46.5980981475   129.542245272
236   46.0034344249   46.0034344249   133.384465003
237   46.1286149037   46.1286149037   133.20231604
238   45.4320277875   45.4320277875   136.508692093
239   45.5232343694   45.5232343694   136.454831768
240   44.1680545912   44.1680545912   145.173452285
241   45.3952151276   45.3952151276   136.288782811
242   44.1367544203   44.1367544203   143.918968473
243   45.4195768705   45.4195768705   136.24505754
244   45.0343321203   45.0343321203   139.193250662
245   46.0541649334   46.0541649334   133.145081149
246   45.3307607294   45.3307607294   136.583910319
247   44.4831710706   44.4831710706   142.885086295
248   45.3038680522   45.3038680522   136.730663415
249   46.64736374   46.64736374   129.861218988
250   45.9633558645   45.9633558645   133.17081989
251   46.1286437357   46.1286437357   131.951266971
252   45.8207528283   45.8207528283   134.085431641
253   45.6762545458   45.6762545458   134.429609105
254   46.336792524   46.336792524   131.277308723
255   46.1674247365   46.1674247365   131.727505438
256   46.6614508867   46.6614508867   129.162735861
257   45.5906555214   45.5906555214   135.121194266
258   46.3313950893   46.3313950893   131.128647308
259   46.4850461053   46.4850461053   130.584559169
260   45.5472548019   45.5472548019   136.214547709
261   44.7794112649   44.7794112649   140.432155444
262   46.1492540488   46.1492540488   132.301633777
263   45.691988091   45.691988091   134.827347823
264   47.2608930004   47.2608930004   126.61846091
265   46.6774885581   46.6774885581   129.357565465
266   46.3403309316   46.3403309316   131.095694853
267   45.6103052232   45.6103052232   134.912460392
268   46.5252363948   46.5252363948   130.148204481
269   46.1090518786   46.1090518786   132.849486786
270   46.3267393722   46.3267393722   131.763595123
271   46.3634986858   46.3634986858   131.13330419
272   45.2342380875   45.2342380875   136.240506641
273   45.8047758157   45.8047758157   133.818691912
274   46.1883748482   46.1883748482   131.871847587
275   47.547420166   47.547420166   124.591949377
276   46.3735461142   46.3735461142   131.412779054
277   46.4628474649   46.4628474649   129.949238495
278   45.3207609038   45.3207609038   137.1098911
279   45.4367841691   45.4367841691   136.719942952
280   46.2080540815   46.2080540815   131.528212713
281   46.404092703   46.404092703   130.661045373
282   46.1121519017   46.1121519017   132.875234766
283   46.7309837999   46.7309837999   128.800957875
284   46.3109120961   46.3109120961   131.236078466
285   46.3221314973   46.3221314973   130.922971167
286   45.5285682522   45.5285682522   135.343274636
287   45.4692088509   45.4692088509   136.15132707
288   45.350250589   45.350250589   136.451078989
289   45.0972663262   45.0972663262   138.640752245
290   45.709441367   45.709441367   134.186895626
291   45.8989081091   45.8989081091   134.031803514
292   46.3464169731   46.3464169731   132.375685167
293   45.4188251529   45.4188251529   136.595557824
294   45.4502621336   45.4502621336   136.135461243
295   44.5173393653   44.5173393653   142.138647506
296   45.1370090045   45.1370090045   138.181714387
297   45.1366784844   45.1366784844   139.007319402
298   45.8320217788   45.8320217788   134.131832803
299   45.6166881694   45.6166881694   135.836667617
300   46.5270309836   46.5270309836   129.858626068
301   45.8763262835   45.8763262835   133.103341229
302   45.3534319303   45.3534319303   136.732864769
303   45.7520872353   45.7520872353   134.631399448
304   45.4439800189   45.4439800189   136.752142792
305   45.1267538111   45.1267538111   137.877327903
306   46.2262448104   46.2262448104   131.829086243
307   45.524295196   45.524295196   135.554652271
308   45.9447319344   45.9447319344   133.469710635
309   46.076889591   46.076889591   132.861586445
310   46.5683235702   46.5683235702   129.795583018
311   46.0060366041   46.0060366041   133.452819137
312   46.5038472989   46.5038472989   130.00869321
313   45.5651041867   45.5651041867   136.229423538
314   44.8139096059   44.8139096059   139.980762135
315   45.6031625467   45.6031625467   135.293269681
316   46.8411675507   46.8411675507   128.66690691
317   46.0558327566   46.0558327566   132.934362618
318   46.3450312446   46.3450312446   131.133402337
319   46.3907799105   46.3907799105   130.520901115
320   46.0717814612   46.0717814612   132.369454521
321   45.6132097876   45.6132097876   134.740055863
322   46.4042221392   46.4042221392   130.416996598
323   46.7123582859   46.7123582859   129.37585496
324   45.8143245145   45.8143245145   133.96987746
325   46.0392907269   46.0392907269   132.653203912
326   46.0900535059   46.0900535059   132.9437188
327   44.9206256762   44.9206256762   138.605052517
328   44.8976596112   44.8976596112   138.997825749
329   45.6943494198   45.6943494198   135.369011951
330   46.0106389309   46.0106389309   132.767025073
331   45.9308553896   45.9308553896   133.714639523
332   45.9194036184   45.9194036184   133.685469402
333   45.8243221496   45.8243221496   134.170728479
334   45.8530051931   45.8530051931   133.908610215
335   45.7547154224   45.7547154224   134.308883533
336   45.7011697547   45.7011697547   134.671967992
337   45.4761702228   45.4761702228   135.558448824
338   45.2561109031   45.2561109031   137.651899799
339   44.6363897142   44.6363897142   141.101150278
340   45.7657247201   45.7657247201   135.502371992
341   44.913999477   44.913999477   138.833249414
342   46.1577301291   46.1577301291   131.978300817
343   46.963530902   46.963530902   128.329623257
344   46.2716603143   46.2716603143   131.508965043
345   46.0008441582   46.0008441582   132.997106228
346   47.63099432   47.63099432   124.780024811
347   46.1955759008   46.1955759008   131.865994887
348   47.1696978073   47.1696978073   126.888880752
349   46.3682701258   46.3682701258   131.056126936
350   46.435407859   46.435407859   130.744680832
351   44.9639981752   44.9639981752   139.414996722
352   45.5355541813   45.5355541813   136.162976181
353   45.754947215   45.754947215   134.577835421
354   46.3278969411   46.3278969411   130.721079414
355   46.6427586858   46.6427586858   129.785332655
356   45.7192018193   45.7192018193   135.376868353
357   45.9766525274   45.9766525274   133.213552189
358   46.2262681753   46.2262681753   131.742330311
359   45.4520920131   45.4520920131   136.033060412
360   45.0830560955   45.0830560955   138.420327645
361   45.5391592566   45.5391592566   136.329230374
362   44.9263928433   44.9263928433   139.440648139
363   45.3050099319   45.3050099319   137.420525363
364   45.1742078071   45.1742078071   137.810039576
365   45.1189823382   45.1189823382   139.071193255
366   45.389899379   45.389899379   136.834204414
367   45.3672550117   45.3672550117   136.447604541
368   46.1128371458   46.1128371458   133.106593239
369   45.7852483613   45.7852483613   134.263538774
370   46.2033577792   46.2033577792   131.558627977
371   46.3285782933   46.3285782933   131.206490337
372   46.0845466873   46.0845466873   132.955186614
373   45.1539171707   45.1539171707   137.738626768
374   45.7310964427   45.7310964427   134.13830913
375   45.4003170221   45.4003170221   135.695453018
376   45.9557975604   45.9557975604   132.819304744
377   44.8080049387   44.8080049387   139.940790273
378   45.3163261894   45.3163261894   136.77861914
379   45.198783175   45.198783175   138.113768802
380   45.087738224   45.087738224   137.823938164
381   45.2418503341   45.2418503341   137.892800078
382   45.7155295721   45.7155295721   135.433218091
383   45.5510277662   45.5510277662   135.541055679
384   46.1724168378   46.1724168378   131.854891118
385   45.0711473265   45.0711473265   138.8389324
386   45.1456080813   45.1456080813   137.982335366
387   45.1549149924   45.1549149924   138.02833662
388   45.1197378498   45.1197378498   137.976003224
389   45.7646469842   45.7646469842   134.690348252
390   45.3873100492   45.3873100492   136.41120272
391   44.8780090949   44.8780090949   140.377876449
392   45.2817271134   45.2817271134   137.852869788
393   45.6217780098   45.6217780098   135.364869438
394   46.0816420105   46.0816420105   132.26267405
395   46.4096370862   46.4096370862   130.965567774
396   45.8970374533   45.8970374533   133.623119684
397   46.1773653476   46.1773653476   132.226584422
398   46.0739636889   46.0739636889   132.629797083
399   45.2458048493   45.2458048493   137.776266893
400   45.1919892926   45.1919892926   137.29489708
401   45.4892055528   45.4892055528   135.119889477
402   45.6850608572   45.6850608572   134.762218244
403   46.0579277957   46.0579277957   133.059494449
404   46.5084680059   46.5084680059   130.103843072
405   46.2458127776   46.2458127776   131.612520089
406   45.4142203511   45.4142203511   136.481010588
407   45.6412784427   45.6412784427   135.146110614
408   46.2299275092   46.2299275092   131.256911518
409   46.101849879   46.101849879   132.322457646
410   44.9665144293   44.9665144293   138.987527245
411   46.065495107   46.065495107   133.117245809
412   46.1524358292   46.1524358292   132.460943751
413   45.6309065728   45.6309065728   134.61339567
414   45.7074872857   45.7074872857   135.03458383
415   45.6090912303   45.6090912303   134.907511701
416   45.6046098663   45.6046098663   135.274755431
417   45.9829130456   45.9829130456   133.110001596
418   45.4260612621   45.4260612621   136.404950928
419   46.4605534664   46.4605534664   130.4858924
420   45.6325831694   45.6325831694   136.163761385
421   45.3824717575   45.3824717575   136.048683878
422   45.6503445055   45.6503445055   135.352690331
423   44.9488054205   44.9488054205   139.52939949
424   44.5590368024   44.5590368024   142.20320713
425   45.057132207   45.057132207   138.447354338
426   45.4551790984   45.4551790984   136.693413617
427   45.5189386334   45.5189386334   135.829339607
428   45.5282390475   45.5282390475   134.475375143
429   45.527733863   45.527733863   135.636007365
430   46.355539887   46.355539887   130.98684062
431   46.6963272162   46.6963272162   129.884285176
432   45.677140949   45.677140949   134.756841575
433   45.2282909855   45.2282909855   137.624756417
434   44.7463743959   44.7463743959   140.882690504
435   44.8653722806   44.8653722806   140.025851577
436   45.664673624   45.664673624   135.138212509
437   46.1703645728   46.1703645728   132.322873867
438   45.8364528545   45.8364528545   133.744736233
439   46.169656505   46.169656505   131.934054463
440   45.2386123205   45.2386123205   137.908997414
441   45.0668787395   45.0668787395   138.501549928
442   45.4655246789   45.4655246789   136.068345216
443   44.4130429363   44.4130429363   143.069878955
444   44.9886478147   44.9886478147   138.793752752
445   44.9045695296   44.9045695296   139.419567424
446   45.4653028766   45.4653028766   135.690824864
447   45.550853716   45.550853716   135.313684805
448   43.8517328816   43.8517328816   145.88648572
449   44.7264472283   44.7264472283   140.503647824
450   44.8367012081   44.8367012081   140.140000659
451   44.3927072083   44.3927072083   142.015411452
452   43.8628399097   43.8628399097   146.113562755
453   43.8683675365   43.8683675365   145.955698265
454   44.0091596313   44.0091596313   144.528143383
455   45.4034108929   45.4034108929   136.372716466
456   44.6436316643   44.6436316643   141.423201376
457   45.5377806004   45.5377806004   135.784828914
458   44.1503037226   44.1503037226   144.544699629
459   44.4325185525   44.4325185525   143.398097472
460   44.491450851   44.491450851   141.821677221
461   45.007049478   45.007049478   139.005440328
462   45.5110012395   45.5110012395   136.22249307
463   44.1204516524   44.1204516524   145.012727131
464   44.4550208759   44.4550208759   142.21029147
465   44.7166117802   44.7166117802   140.972976979
466   45.0219157427   45.0219157427   138.533199545
467   44.7044815064   44.7044815064   141.081419276
468   44.7340205077   44.7340205077   140.363987195
469   45.0719888397   45.0719888397   138.295648535
470   44.5856734869   44.5856734869   141.613223251
471   45.6927304285   45.6927304285   134.955254872
472   45.446342332   45.446342332   136.553010992
473   44.9075549723   44.9075549723   139.811097677
474   45.3548182256   45.3548182256   136.840429013
475   46.3154028534   46.3154028534   131.155912741
476   45.5949660364   45.5949660364   136.459226404
477   45.0131278686   45.0131278686   138.777907581
478   45.9363016766   45.9363016766   133.059411811
479   44.4559681228   44.4559681228   142.338658711
480   45.1682897152   45.1682897152   138.243789209
481   45.3884758396   45.3884758396   137.268916669
482   45.3512874248   45.3512874248   137.610011286
483   45.1716817082   45.1716817082   137.613913891
484   45.3496054318   45.3496054318   137.135933713
485   46.0735944407   46.0735944407   133.246537116
486   44.4983176826   44.4983176826   141.78052242
487   45.4170660939   45.4170660939   136.28249792
488   45.6037582991   45.6037582991   134.999951665
489   45.824233996   45.824233996   134.012815064
490   45.224981036   45.224981036   137.457148954
491   44.9454160343   44.9454160343   139.388342327
492   45.2183764265   45.2183764265   137.960244474
493   44.7232960741   44.7232960741   140.585077106
494   44.96397698   44.96397698   139.221119359
495   45.5057486721   45.5057486721   136.068430805
496   44.7943748356   44.7943748356   140.142292147
497   44.8761460055   44.8761460055   139.195895453
498   44.2473545481   44.2473545481   144.078554659
499   44.8292180501   44.8292180501   139.411907263
500   45.854230557   45.854230557   133.468367467
501   45.5428237449   45.5428237449   136.442127238
502   44.7721270517   44.7721270517   140.157977712
503   44.7354100019   44.7354100019   140.307092194
504   44.9643866993   44.9643866993   139.277591926
505   45.3000656838   45.3000656838   137.389400934
506   45.1925997274   45.1925997274   137.446424808
507   45.2125720368   45.2125720368   137.098675562
508   46.6219121431   46.6219121431   128.612339608
509   45.6364747145   45.6364747145   134.839213053
510   45.0419139154   45.0419139154   138.631367064
511   46.0620287724   46.0620287724   132.365912758
512   46.2108245488   46.2108245488   131.36050007
513   46.5522347666   46.5522347666   129.997343897
514   46.5505334037   46.5505334037   130.192629371
515   46.725906621   46.725906621   128.573367677
516   46.8443384239   46.8443384239   128.872003071
517   45.6235200183   45.6235200183   135.15218175
518   45.1157988531   45.1157988531   138.625249379
519   44.5565109427   44.5565109427   141.959398362
520   45.6578711557   45.6578711557   135.675690982
521   46.2342922912   46.2342922912   131.383072538
522   46.0384260553   46.0384260553   132.883963985
523   46.0011463971   46.0011463971   133.231641139
524   45.5294200723   45.5294200723   136.159733849
525   46.0464381386   46.0464381386   132.810290928
526   45.111007354   45.111007354   138.438291572
527   45.8067685879   45.8067685879   134.33873245
528   45.9992767847   45.9992767847   133.317039791
529   46.1209657552   46.1209657552   132.232033419
530   46.1543133888   46.1543133888   132.257203119
531   46.3234152538   46.3234152538   131.256761271
532   45.6224293594   45.6224293594   135.362731174
533   45.2399422059   45.2399422059   137.537993691
534   45.1194337542   45.1194337542   137.978366444
535   44.5469366937   44.5469366937   141.835464612
536   45.4571029619   45.4571029619   136.486867333
537   45.3288108582   45.3288108582   137.431190077
538   45.2831019458   45.2831019458   136.918898995
539   45.2063101037   45.2063101037   137.462092112
540   45.1353593883   45.1353593883   138.250546397
541   44.4765839196   44.4765839196   142.399167109
542   44.4558906514   44.4558906514   143.154697542
543   44.2604045204   44.2604045204   143.624110622
544   44.9863721363   44.9863721363   139.320392837
545   45.1723845315   45.1723845315   137.497975713
546   45.0603488348   45.0603488348   139.008493467
547   45.368903649   45.368903649   137.187441154
548   45.1139057532   45.1139057532   138.585011132
549   44.3531001005   44.3531001005   143.015297881
550   45.0321139882   45.0321139882   138.662794117
551   44.779310659   44.779310659   140.252296667
552   44.6761575532   44.6761575532   140.737322548
553   45.21949356   45.21949356   137.11306431
554   46.285840533   46.285840533   131.740925865
555   45.6458974771   45.6458974771   134.892083604
556   45.3074907409   45.3074907409   137.52263347
557   45.6990703847   45.6990703847   135.249100439
558   45.4241549576   45.4241549576   136.374959895
559   44.6529047357   44.6529047357   140.759393458
560   45.6046506012   45.6046506012   135.37785564
561   45.658260475   45.658260475   135.168523502
562   45.541540386   45.541540386   135.790494706
563   45.7286087966   45.7286087966   134.531068521
564   46.0248902953   46.0248902953   132.832681768
565   46.2624720755   46.2624720755   131.798153779
566   46.4552216103   46.4552216103   130.60756292
567   45.9891139687   45.9891139687   132.755167419
568   46.7553322428   46.7553322428   128.386736998
569   47.028890856   47.028890856   127.31988057
570   47.1894184935   47.1894184935   126.659677632
571   46.966933268   46.966933268   127.706580639
572   47.5117531549   47.5117531549   125.07615114
573   46.0381937227   46.0381937227   132.968605761
574   45.3995450452   45.3995450452   136.498142601
575   46.5486060097   46.5486060097   129.987141279
576   46.3396211066   46.3396211066   130.355651966
577   47.4480463846   47.4480463846   126.004420137
578   45.5990950537   45.5990950537   134.854693676
579   45.1833695847   45.1833695847   138.082264673
580   45.9577442953   45.9577442953   134.196066817
581   46.1267410867   46.1267410867   132.338226006
582   45.5456967528   45.5456967528   135.456056445
583   44.5080127548   44.5080127548   141.860350069
584   46.0143726942   46.0143726942   132.793850405
585   44.6660781087   44.6660781087   140.82753116
586   45.3849157455   45.3849157455   136.957243825
587   44.9437920964   44.9437920964   139.351796712
588   44.7379877203   44.7379877203   140.717959788
589   45.4312927562   45.4312927562   136.791216171
590   44.8835073107   44.8835073107   139.782443649
591   45.2614260542   45.2614260542   137.304187125
592   45.779227167   45.779227167   135.22955913
593   46.0819628248   46.0819628248   133.609564118
594   46.5285692986   46.5285692986   130.389287415
595   46.0619692533   46.0619692533   132.744655481
596   45.5118051373   45.5118051373   135.962401991
597   45.674089703   45.674089703   135.51580519
598   45.7806985352   45.7806985352   133.973733271
599   46.5326216685   46.5326216685   130.421602423
600   45.8931164489   45.8931164489   133.519168829
601   45.722620603   45.722620603   134.754239014
602   46.1858114787   46.1858114787   132.10733854
603   46.1368501308   46.1368501308   131.950972191
604   45.876234414   45.876234414   134.468718598
605   46.434831772   46.434831772   130.674805285
606   46.237408707   46.237408707   131.840992739
607   45.420023925   45.420023925   136.934058855
608   46.2300725352   46.2300725352   132.1302228
609   45.660143867   45.660143867   135.943474465
610   45.2175417128   45.2175417128   137.467882528
611   45.2220192214   45.2220192214   136.859147657
612   45.8036626229   45.8036626229   135.051907194
613   45.9807461483   45.9807461483   133.753871457
614   45.9450780061   45.9450780061   133.749540154
615   45.0246645252   45.0246645252   139.494662362
616   45.4251724483   45.4251724483   137.071835187
617   45.7142155119   45.7142155119   134.991235676
618   46.3398209916   46.3398209916   131.63664066
619   45.2756085051   45.2756085051   137.508096719
620   44.5929071231   44.5929071231   142.612780556
621   45.6979683094   45.6979683094   135.399847982
622   45.2520588598   45.2520588598   137.636880336
623   45.5863427925   45.5863427925   135.183667376
624   45.766659789   45.766659789   134.394564832
625   44.9529999062   44.9529999062   139.261293007
626   45.2177784511   45.2177784511   137.419614769
627   45.8107682842   45.8107682842   134.356270044
628   46.1490221601   46.1490221601   132.215589502
629   45.0469581602   45.0469581602   138.921750586
630   45.1015033082   45.1015033082   138.693859428
631   45.6800806882   45.6800806882   134.573991506
632   46.4365457009   46.4365457009   129.755696314
633   46.3521920464   46.3521920464   130.534158159
634   46.1250600525   46.1250600525   132.402156857
635   44.7045932563   44.7045932563   140.781811759
636   44.8552337386   44.8552337386   139.89384919
637   46.1393115361   46.1393115361   133.004999822
638   46.5062177714   46.5062177714   130.199039276
639   47.0215395536   47.0215395536   127.371937764
640   46.4075163544   46.4075163544   130.783864499
641   46.0774460844   46.0774460844   132.607396681
642   45.9307593521   45.9307593521   133.73980764
