#section    x     y    z
1   45.7947253178   45.7947253178   134.179703129
2   45.6368817768   45.6368817768   134.206407943
3   45.7033761384   45.7033761384   134.617915382
4   46.4515777   46.4515777   130.507370917
5   45.6215947165   45.6215947165   135.480389385
6   46.1000262795   46.1000262795   132.683923399
7   45.2080817975   45.2080817975   138.073889654
8   45.1037513568   45.1037513568   138.201644862
9   45.0517938566   45.0517938566   139.224877118
10   45.5621715642   45.5621715642   134.865982367
11   45.6439363169   45.6439363169   135.472311252
12   44.9373407297   44.9373407297   139.839334232
13   45.4706808118   45.4706808118   136.374277515
14   44.8587826129   44.8587826129   139.622903732
15   45.5012359934   45.5012359934   135.93572035
16   45.5371965367   45.5371965367   135.71226336
17   45.9884924569   45.9884924569   133.494571297
18   46.6035248025   46.6035248025   130.080134681
19   45.6829238813   45.6829238813   134.909764017
20   45.4179966843   45.4179966843   136.081099603
21   44.9478301798   44.9478301798   139.775707219
22   45.0745434136   45.0745434136   139.126200207
23   44.7067161466   44.7067161466   140.811506742
24   44.579765132   44.579765132   141.924390963
25   45.6658862139   45.6658862139   135.541987969
26   46.50336597   46.50336597   130.474207983
27   45.5198971457   45.5198971457   135.937376346
28   45.8171039841   45.8171039841   134.169335515
29   45.5650334798   45.5650334798   135.680133633
30   44.4836380812   44.4836380812   142.602216541
31   46.0105548767   46.0105548767   132.634408869
32   44.8273767766   44.8273767766   139.48174117
33   46.0223541775   46.0223541775   132.930561777
34   46.0932495424   46.0932495424   133.03631195
35   45.6684525477   45.6684525477   135.148978142
36   45.8658304624   45.8658304624   133.692664441
37   45.6130043382   45.6130043382   135.379553199
38   45.9436863386   45.9436863386   133.778671821
39   46.0311674418   46.0311674418   132.392078965
40   45.4267407656   45.4267407656   136.220261439
41   46.3906768456   46.3906768456   130.625050018
42   46.2773077808   46.2773077808   131.393861422
43   45.7302889978   45.7302889978   135.22642666
44   45.7404175518   45.7404175518   134.971129074
45   46.4820292602   46.4820292602   129.372834355
46   47.2026532413   47.2026532413   126.496814265
47   46.0817169202   46.0817169202   132.569968377
48   45.7957985712   45.7957985712   134.949665518
49   45.8819926886   45.8819926886   134.36788681
50   45.9868362071   45.9868362071   133.036416975
51   46.4672433224   46.4672433224   131.403643658
52   45.3501187447   45.3501187447   136.16870306
53   45.9482052947   45.9482052947   132.305372573
54   45.54240582   45.54240582   135.411848306
55   46.078249159   46.078249159   132.518714284
56   45.7804872154   45.7804872154   134.762668666
57   45.5654034027   45.5654034027   135.143906136
58   45.7235712082   45.7235712082   135.294489191
59   46.2578366336   46.2578366336   131.276743411
60   45.3720077944   45.3720077944   137.09077768
61   45.5138158397   45.5138158397   136.242774384
62   45.2471279641   45.2471279641   137.078123021
63   46.0652595125   46.0652595125   132.334676074
64   45.3623863488   45.3623863488   137.138604513
65   45.6228688967   45.6228688967   134.732829244
66   44.8879103653   44.8879103653   139.760406946
67   44.9459826434   44.9459826434   139.356958305
68   45.6706914152   45.6706914152   135.387038388
69   45.3224865985   45.3224865985   136.891012759
70   44.8985150612   44.8985150612   139.626951806
71   45.5843190542   45.5843190542   134.955908175
72   46.4006050965   46.4006050965   130.368389982
73   46.0791314103   46.0791314103   132.427347838
74   46.6097544201   46.6097544201   129.409758396
75   45.8679710368   45.8679710368   134.039223703
76   45.6686261642   45.6686261642   135.452676998
77   45.3706757234   45.3706757234   137.67710187
78   45.444494474   45.444494474   137.017078107
79   45.1851912408   45.1851912408   137.536032194
80   46.0207737817   46.0207737817   132.784975526
81   46.2863819   46.2863819   131.065195686
82   46.6175812054   46.6175812054   129.466247824
83   45.7045869688   45.7045869688   134.162621765
84   46.1039353202   46.1039353202   132.1895391
85   46.3399098079   46.3399098079   130.43270054
86   45.8060620985   45.8060620985   134.086308822
87   44.9153535197   44.9153535197   139.636347278
88   44.7334481141   44.7334481141   141.020069052
89   45.9722215481   45.9722215481   133.109435535
90   45.0742825413   45.0742825413   139.24376296
91   45.2977606409   45.2977606409   137.527517338
92   45.7462086187   45.7462086187   133.854504917
93   45.2162275279   45.2162275279   137.809445002
94   44.9991790246   44.9991790246   139.344552193
95   45.5653480259   45.5653480259   135.833867664
96   43.9875084789   43.9875084789   145.447071614
97   45.7741858762   45.7741858762   134.851201861
98   45.09657613   45.09657613   138.558807324
99   45.6506133653   45.6506133653   134.824308545
100   45.1673269686   45.1673269686   138.711958633
101   45.7626935547   45.7626935547   134.631205265
102   44.964199203   44.964199203   139.220328086
103   46.1598214738   46.1598214738   132.17372817
104   46.4656083161   46.4656083161   130.661880403
105   44.8738414625   44.8738414625   140.247832308
106   45.0894320358   45.0894320358   138.839665694
107   45.2093277088   45.2093277088   137.096749613
108   45.8685887609   45.8685887609   133.43407762
109   46.283232392   46.283232392   131.664802501
110   46.1666296804   46.1666296804   131.594914999
111   45.7419597797   45.7419597797   134.353652177
112   45.2625622852   45.2625622852   137.0876107
