Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.220000	0.217000	0.221000	0.219333	0.001202
3	0.173000	0.171000	0.172000	0.172000	0.000577
4	0.201000	0.199000	0.201000	0.200333	0.000667
5	0.197000	0.195000	0.197000	0.196333	0.000667
6	0.205000	0.203000	0.205000	0.204333	0.000667
7	0.192000	0.190000	0.191000	0.191000	0.000577
8	0.189000	0.187000	0.187000	0.187667	0.000667
9	0.171000	0.168000	0.169000	0.169333	0.000882
10	0.161000	0.159000	0.159000	0.159667	0.000667
11	0.143000	0.141000	0.140000	0.141333	0.000882
12	0.131000	0.130000	0.128000	0.129667	0.000882
13	0.113000	0.112000	0.111000	0.112000	0.000577
14	0.099000	0.098000	0.097000	0.098000	0.000577
15	0.075000	0.074000	0.074000	0.074333	0.000333
16	0.025000	0.025000	0.025000	0.025000	0.000000
