Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.221000	0.222000	0.222000	0.221667	0.000333
3	0.171000	0.174000	0.171000	0.172000	0.001000
4	0.202000	0.206000	0.203000	0.203667	0.001202
5	0.202000	0.207000	0.203000	0.204000	0.001528
6	0.213000	0.219000	0.215000	0.215667	0.001764
7	0.203000	0.209000	0.204000	0.205333	0.001856
8	0.202000	0.207000	0.203000	0.204000	0.001528
9	0.186000	0.190000	0.187000	0.187667	0.001202
10	0.178000	0.182000	0.179000	0.179667	0.001202
11	0.159000	0.162000	0.159000	0.160000	0.001000
12	0.147000	0.150000	0.147000	0.148000	0.001000
13	0.126000	0.128000	0.126000	0.126667	0.000667
14	0.109000	0.112000	0.109000	0.110000	0.001000
15	0.083000	0.084000	0.082000	0.083000	0.000577
16	0.028000	0.028000	0.028000	0.028000	0.000000
