Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.222000	0.224000	0.221000	0.222333	0.000882
3	0.172000	0.172000	0.173000	0.172333	0.000333
4	0.204000	0.203000	0.205000	0.204000	0.000577
5	0.204000	0.203000	0.204000	0.203667	0.000333
6	0.216000	0.214000	0.216000	0.215333	0.000667
7	0.206000	0.204000	0.206000	0.205333	0.000667
8	0.205000	0.203000	0.205000	0.204333	0.000667
9	0.187000	0.186000	0.188000	0.187000	0.000577
10	0.179000	0.178000	0.179000	0.178667	0.000333
11	0.159000	0.159000	0.160000	0.159333	0.000333
12	0.148000	0.147000	0.148000	0.147667	0.000333
13	0.126000	0.126000	0.127000	0.126333	0.000333
14	0.110000	0.110000	0.110000	0.110000	0.000000
15	0.082000	0.083000	0.083000	0.082667	0.000333
16	0.028000	0.028000	0.028000	0.028000	0.000000
