Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.234000	0.232000	0.231000	0.232333	0.000882
3	0.195000	0.193000	0.193000	0.193667	0.000667
4	0.228000	0.225000	0.226000	0.226333	0.000882
5	0.228000	0.224000	0.225000	0.225667	0.001202
6	0.235000	0.231000	0.233000	0.233000	0.001155
7	0.221000	0.215000	0.219000	0.218333	0.001764
8	0.215000	0.210000	0.213000	0.212667	0.001453
9	0.195000	0.189000	0.193000	0.192333	0.001764
10	0.183000	0.178000	0.182000	0.181000	0.001528
11	0.161000	0.158000	0.160000	0.159667	0.000882
12	0.147000	0.145000	0.146000	0.146000	0.000577
13	0.126000	0.123000	0.124000	0.124333	0.000882
14	0.110000	0.108000	0.108000	0.108667	0.000667
15	0.083000	0.081000	0.081000	0.081667	0.000667
16	0.028000	0.027000	0.028000	0.027667	0.000333
