Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.092000	0.093000	0.094000	0.093000	0.000577
3	0.203000	0.204000	0.204000	0.203667	0.000333
4	0.200000	0.199000	0.200000	0.199667	0.000333
5	0.209000	0.209000	0.208000	0.208667	0.000333
6	0.186000	0.185000	0.185000	0.185333	0.000333
7	0.176000	0.176000	0.176000	0.176000	0.000000
8	0.101000	0.102000	0.100000	0.101000	0.000577
9	0.058000	0.058000	0.057000	0.057667	0.000333
10	0.044000	0.046000	0.046000	0.045333	0.000667
11	0.072000	0.073000	0.073000	0.072667	0.000333
12	0.112000	0.112000	0.112000	0.112000	0.000000
13	0.117000	0.117000	0.117000	0.117000	0.000000
14	0.122000	0.121000	0.121000	0.121333	0.000333
15	0.110000	0.109000	0.110000	0.109667	0.000333
16	0.100000	0.099000	0.100000	0.099667	0.000333
17	0.079000	0.077000	0.078000	0.078000	0.000577
18	0.026000	0.026000	0.026000	0.026000	0.000000
