Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.093000	0.090000	0.092000	0.091667	0.000882
3	0.204000	0.201000	0.202000	0.202333	0.000882
4	0.199000	0.196000	0.199000	0.198000	0.001000
5	0.208000	0.204000	0.206000	0.206000	0.001155
6	0.184000	0.181000	0.183000	0.182667	0.000882
7	0.176000	0.172000	0.174000	0.174000	0.001155
8	0.101000	0.098000	0.100000	0.099667	0.000882
9	0.057000	0.055000	0.056000	0.056000	0.000577
10	0.049000	0.046000	0.046000	0.047000	0.001000
11	0.077000	0.074000	0.075000	0.075333	0.000882
12	0.115000	0.113000	0.114000	0.114000	0.000577
13	0.121000	0.118000	0.119000	0.119333	0.000882
14	0.125000	0.123000	0.123000	0.123667	0.000667
15	0.114000	0.112000	0.112000	0.112667	0.000667
16	0.104000	0.101000	0.101000	0.102000	0.001000
17	0.080000	0.079000	0.079000	0.079333	0.000333
18	0.026000	0.026000	0.026000	0.026000	0.000000
