Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.095000	0.093000	0.092000	0.093333	0.000882
3	0.206000	0.205000	0.205000	0.205333	0.000333
4	0.203000	0.204000	0.203000	0.203333	0.000333
5	0.213000	0.214000	0.212000	0.213000	0.000577
6	0.190000	0.190000	0.189000	0.189667	0.000333
7	0.180000	0.181000	0.179000	0.180000	0.000577
8	0.105000	0.105000	0.103000	0.104333	0.000667
9	0.063000	0.065000	0.062000	0.063333	0.000882
10	0.045000	0.045000	0.046000	0.045333	0.000333
11	0.071000	0.073000	0.073000	0.072333	0.000667
12	0.110000	0.114000	0.114000	0.112667	0.001333
13	0.115000	0.118000	0.119000	0.117333	0.001202
14	0.119000	0.123000	0.123000	0.121667	0.001333
15	0.107000	0.110000	0.110000	0.109000	0.001000
16	0.097000	0.099000	0.100000	0.098667	0.000882
17	0.075000	0.076000	0.077000	0.076000	0.000577
18	0.025000	0.025000	0.025000	0.025000	0.000000
