Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.087000	0.091000	0.090000	0.089333	0.001202
3	0.202000	0.203000	0.201000	0.202000	0.000577
4	0.199000	0.201000	0.198000	0.199333	0.000882
5	0.209000	0.211000	0.208000	0.209333	0.000882
6	0.187000	0.188000	0.186000	0.187000	0.000577
7	0.178000	0.179000	0.177000	0.178000	0.000577
8	0.104000	0.104000	0.104000	0.104000	0.000000
9	0.061000	0.061000	0.060000	0.060667	0.000333
10	0.050000	0.049000	0.049000	0.049333	0.000333
11	0.078000	0.078000	0.078000	0.078000	0.000000
12	0.119000	0.120000	0.118000	0.119000	0.000577
13	0.124000	0.124000	0.123000	0.123667	0.000333
14	0.127000	0.128000	0.126000	0.127000	0.000577
15	0.114000	0.114000	0.112000	0.113333	0.000667
16	0.102000	0.102000	0.101000	0.101667	0.000333
17	0.078000	0.078000	0.078000	0.078000	0.000000
18	0.026000	0.025000	0.026000	0.025667	0.000333
