Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.091000	0.093000	0.090000	0.091333	0.000882
3	0.196000	0.195000	0.194000	0.195000	0.000577
4	0.190000	0.190000	0.188000	0.189333	0.000667
5	0.199000	0.198000	0.196000	0.197667	0.000882
6	0.175000	0.175000	0.172000	0.174000	0.001000
7	0.166000	0.166000	0.163000	0.165000	0.001000
8	0.094000	0.094000	0.093000	0.093667	0.000333
9	0.051000	0.051000	0.049000	0.050333	0.000667
10	0.044000	0.042000	0.039000	0.041667	0.001453
11	0.068000	0.067000	0.066000	0.067000	0.000577
12	0.104000	0.102000	0.101000	0.102333	0.000882
13	0.109000	0.107000	0.106000	0.107333	0.000882
14	0.113000	0.111000	0.111000	0.111667	0.000667
15	0.104000	0.101000	0.102000	0.102333	0.000882
16	0.094000	0.092000	0.093000	0.093000	0.000577
17	0.075000	0.073000	0.073000	0.073667	0.000667
18	0.025000	0.024000	0.024000	0.024333	0.000333
