Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.221000	0.221000	0.218000	0.219000	0.219000	0.220000	0.221000	0.220000	0.218000	0.219667	0.000408
3	0.171000	0.171000	0.173000	0.171000	0.171000	0.172000	0.171000	0.174000	0.174000	0.172000	0.000441
4	0.206000	0.207000	0.207000	0.205000	0.204000	0.206000	0.206000	0.206000	0.206000	0.205889	0.000309
5	0.207000	0.208000	0.207000	0.205000	0.206000	0.207000	0.206000	0.208000	0.206000	0.206667	0.000333
6	0.220000	0.220000	0.220000	0.217000	0.217000	0.220000	0.221000	0.219000	0.219000	0.219222	0.000465
7	0.213000	0.211000	0.211000	0.208000	0.209000	0.211000	0.211000	0.211000	0.211000	0.210667	0.000471
8	0.213000	0.210000	0.210000	0.206000	0.209000	0.210000	0.212000	0.210000	0.210000	0.210000	0.000645
9	0.198000	0.194000	0.193000	0.190000	0.193000	0.194000	0.196000	0.194000	0.192000	0.193778	0.000760
10	0.190000	0.185000	0.185000	0.183000	0.186000	0.186000	0.187000	0.186000	0.184000	0.185778	0.000662
11	0.170000	0.164000	0.165000	0.164000	0.166000	0.164000	0.167000	0.166000	0.163000	0.165444	0.000709
12	0.157000	0.152000	0.152000	0.152000	0.153000	0.151000	0.155000	0.154000	0.150000	0.152889	0.000716
13	0.133000	0.129000	0.130000	0.130000	0.131000	0.128000	0.133000	0.132000	0.128000	0.130444	0.000648
14	0.116000	0.111000	0.114000	0.113000	0.113000	0.111000	0.115000	0.114000	0.112000	0.113222	0.000572
15	0.085000	0.083000	0.084000	0.084000	0.085000	0.081000	0.086000	0.084000	0.083000	0.083889	0.000484
16	0.028000	0.028000	0.028000	0.028000	0.028000	0.026000	0.029000	0.028000	0.027000	0.027778	0.000278
