Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.224000	0.222000	0.222000	0.222667	0.000667
3	0.177000	0.176000	0.175000	0.176000	0.000577
4	0.212000	0.212000	0.211000	0.211667	0.000333
5	0.213000	0.213000	0.211000	0.212333	0.000667
6	0.225000	0.226000	0.224000	0.225000	0.000577
7	0.216000	0.216000	0.214000	0.215333	0.000667
8	0.215000	0.215000	0.213000	0.214333	0.000667
9	0.198000	0.198000	0.196000	0.197333	0.000667
10	0.189000	0.189000	0.187000	0.188333	0.000667
11	0.169000	0.169000	0.166000	0.168000	0.001000
12	0.156000	0.155000	0.154000	0.155000	0.000577
13	0.133000	0.132000	0.130000	0.131667	0.000882
14	0.114000	0.114000	0.113000	0.113667	0.000333
15	0.085000	0.085000	0.083000	0.084333	0.000667
16	0.029000	0.028000	0.028000	0.028333	0.000333
