Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.225000	0.221000	0.223000	0.223000	0.001155
3	0.172000	0.173000	0.175000	0.173333	0.000882
4	0.204000	0.207000	0.207000	0.206000	0.001000
5	0.204000	0.208000	0.209000	0.207000	0.001528
6	0.217000	0.220000	0.222000	0.219667	0.001453
7	0.207000	0.211000	0.213000	0.210333	0.001764
8	0.207000	0.210000	0.212000	0.209667	0.001453
9	0.191000	0.194000	0.196000	0.193667	0.001453
10	0.183000	0.186000	0.188000	0.185667	0.001453
11	0.164000	0.165000	0.169000	0.166000	0.001528
12	0.152000	0.154000	0.156000	0.154000	0.001155
13	0.130000	0.132000	0.135000	0.132333	0.001453
14	0.114000	0.115000	0.117000	0.115333	0.000882
15	0.085000	0.086000	0.088000	0.086333	0.000882
16	0.029000	0.029000	0.030000	0.029333	0.000333
