Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.222000	0.224000	0.224000	0.223333	0.000667
3	0.173000	0.176000	0.175000	0.174667	0.000882
4	0.205000	0.207000	0.208000	0.206667	0.000882
5	0.206000	0.208000	0.208000	0.207333	0.000667
6	0.217000	0.219000	0.221000	0.219000	0.001155
7	0.208000	0.209000	0.212000	0.209667	0.001202
8	0.207000	0.209000	0.211000	0.209000	0.001155
9	0.191000	0.193000	0.195000	0.193000	0.001155
10	0.183000	0.185000	0.188000	0.185333	0.001453
11	0.163000	0.165000	0.168000	0.165333	0.001453
12	0.151000	0.153000	0.155000	0.153000	0.001155
13	0.130000	0.131000	0.133000	0.131333	0.000882
14	0.112000	0.114000	0.115000	0.113667	0.000882
15	0.084000	0.086000	0.087000	0.085667	0.000882
16	0.029000	0.029000	0.029000	0.029000	0.000000
