Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.235000	0.235000	0.235000	0.235000	0.000000
3	0.191000	0.192000	0.192000	0.191667	0.000333
4	0.224000	0.225000	0.224000	0.224333	0.000333
5	0.220000	0.220000	0.219000	0.219667	0.000333
6	0.228000	0.227000	0.226000	0.227000	0.000577
7	0.212000	0.210000	0.210000	0.210667	0.000667
8	0.207000	0.205000	0.204000	0.205333	0.000882
9	0.187000	0.184000	0.183000	0.184667	0.001202
10	0.176000	0.173000	0.173000	0.174000	0.001000
11	0.154000	0.151000	0.153000	0.152667	0.000882
12	0.142000	0.139000	0.140000	0.140333	0.000882
13	0.121000	0.118000	0.120000	0.119667	0.000882
14	0.106000	0.103000	0.105000	0.104667	0.000882
15	0.079000	0.077000	0.079000	0.078333	0.000667
16	0.027000	0.026000	0.027000	0.026667	0.000333
