Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.088000	0.089000	0.088000	0.088333	0.000333
3	0.201000	0.202000	0.201000	0.201333	0.000333
4	0.198000	0.200000	0.197000	0.198333	0.000882
5	0.209000	0.210000	0.207000	0.208667	0.000882
6	0.187000	0.187000	0.185000	0.186333	0.000667
7	0.179000	0.179000	0.177000	0.178333	0.000667
8	0.105000	0.104000	0.104000	0.104333	0.000333
9	0.062000	0.062000	0.060000	0.061333	0.000667
10	0.050000	0.051000	0.051000	0.050667	0.000333
11	0.079000	0.078000	0.079000	0.078667	0.000333
12	0.121000	0.119000	0.119000	0.119667	0.000667
13	0.127000	0.125000	0.123000	0.125000	0.001155
14	0.130000	0.128000	0.126000	0.128000	0.001155
15	0.116000	0.114000	0.114000	0.114667	0.000667
16	0.104000	0.103000	0.102000	0.103000	0.000577
17	0.079000	0.079000	0.078000	0.078667	0.000333
18	0.026000	0.026000	0.026000	0.026000	0.000000
