Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.219000	0.218000	0.220000	0.219000	0.000577
3	0.172000	0.171000	0.170000	0.171000	0.000577
4	0.206000	0.206000	0.205000	0.205667	0.000333
5	0.207000	0.207000	0.206000	0.206667	0.000333
6	0.219000	0.220000	0.219000	0.219333	0.000333
7	0.210000	0.211000	0.210000	0.210333	0.000333
8	0.209000	0.211000	0.209000	0.209667	0.000667
9	0.193000	0.194000	0.193000	0.193333	0.000333
10	0.185000	0.186000	0.185000	0.185333	0.000333
11	0.165000	0.166000	0.164000	0.165000	0.000577
12	0.152000	0.152000	0.152000	0.152000	0.000000
13	0.129000	0.130000	0.129000	0.129333	0.000333
14	0.111000	0.112000	0.111000	0.111333	0.000333
15	0.082000	0.082000	0.082000	0.082000	0.000000
16	0.027000	0.027000	0.027000	0.027000	0.000000
