Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.092000	0.093000	0.092000	0.092333	0.000333
3	0.204000	0.203000	0.202000	0.203000	0.000577
4	0.199000	0.200000	0.198000	0.199000	0.000577
5	0.207000	0.209000	0.206000	0.207333	0.000882
6	0.183000	0.185000	0.182000	0.183333	0.000882
7	0.174000	0.176000	0.173000	0.174333	0.000882
8	0.100000	0.101000	0.100000	0.100333	0.000333
9	0.057000	0.058000	0.056000	0.057000	0.000577
10	0.046000	0.044000	0.043000	0.044333	0.000882
11	0.073000	0.071000	0.070000	0.071333	0.000882
12	0.112000	0.111000	0.109000	0.110667	0.000882
13	0.117000	0.118000	0.115000	0.116667	0.000882
14	0.121000	0.122000	0.119000	0.120667	0.000882
15	0.109000	0.111000	0.108000	0.109333	0.000882
16	0.099000	0.100000	0.098000	0.099000	0.000577
17	0.076000	0.078000	0.077000	0.077000	0.000577
18	0.025000	0.026000	0.025000	0.025333	0.000333
