Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.096000	0.093000	0.093000	0.094000	0.001000
3	0.208000	0.206000	0.206000	0.206667	0.000667
4	0.205000	0.205000	0.202000	0.204000	0.001000
5	0.215000	0.215000	0.211000	0.213667	0.001333
6	0.191000	0.191000	0.189000	0.190333	0.000667
7	0.182000	0.182000	0.179000	0.181000	0.001000
8	0.105000	0.106000	0.102000	0.104333	0.001202
9	0.060000	0.061000	0.057000	0.059333	0.001202
10	0.050000	0.050000	0.047000	0.049000	0.001000
11	0.079000	0.079000	0.077000	0.078333	0.000667
12	0.121000	0.120000	0.118000	0.119667	0.000882
13	0.127000	0.126000	0.123000	0.125333	0.001202
14	0.130000	0.130000	0.127000	0.129000	0.001000
15	0.118000	0.118000	0.115000	0.117000	0.001000
16	0.107000	0.107000	0.104000	0.106000	0.001000
17	0.082000	0.082000	0.081000	0.081667	0.000333
18	0.027000	0.027000	0.027000	0.027000	0.000000
