Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.090000	0.089000	0.092000	0.090333	0.000882
3	0.202000	0.201000	0.204000	0.202333	0.000882
4	0.199000	0.197000	0.201000	0.199000	0.001155
5	0.209000	0.207000	0.210000	0.208667	0.000882
6	0.186000	0.185000	0.187000	0.186000	0.000577
7	0.177000	0.176000	0.177000	0.176667	0.000333
8	0.102000	0.101000	0.103000	0.102000	0.000577
9	0.058000	0.059000	0.059000	0.058667	0.000333
10	0.047000	0.050000	0.048000	0.048333	0.000882
11	0.075000	0.077000	0.075000	0.075667	0.000667
12	0.115000	0.117000	0.115000	0.115667	0.000667
13	0.120000	0.122000	0.120000	0.120667	0.000667
14	0.124000	0.125000	0.124000	0.124333	0.000333
15	0.111000	0.112000	0.111000	0.111333	0.000333
16	0.101000	0.101000	0.101000	0.101000	0.000000
17	0.078000	0.078000	0.077000	0.077667	0.000333
18	0.025000	0.026000	0.025000	0.025333	0.000333
