Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.222000	0.220000	0.221000	0.221000	0.000577
3	0.172000	0.171000	0.170000	0.171000	0.000577
4	0.204000	0.205000	0.203000	0.204000	0.000577
5	0.204000	0.206000	0.202000	0.204000	0.001155
6	0.216000	0.218000	0.213000	0.215667	0.001453
7	0.207000	0.208000	0.204000	0.206333	0.001202
8	0.206000	0.208000	0.204000	0.206000	0.001155
9	0.188000	0.191000	0.187000	0.188667	0.001202
10	0.180000	0.183000	0.180000	0.181000	0.001000
11	0.160000	0.162000	0.159000	0.160333	0.000882
12	0.147000	0.151000	0.148000	0.148667	0.001202
13	0.126000	0.132000	0.130000	0.129333	0.001764
14	0.110000	0.116000	0.112000	0.112667	0.001764
15	0.080000	0.088000	0.084000	0.084000	0.002309
16	0.026000	0.029000	0.027000	0.027333	0.000882
