Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.107000	0.105000	0.108000	0.106667	0.000882
3	0.220000	0.220000	0.219000	0.219667	0.000333
4	0.224000	0.224000	0.224000	0.224000	0.000000
5	0.235000	0.235000	0.235000	0.235000	0.000000
6	0.212000	0.212000	0.212000	0.212000	0.000000
7	0.200000	0.201000	0.201000	0.200667	0.000333
8	0.120000	0.120000	0.120000	0.120000	0.000000
9	0.080000	0.079000	0.079000	0.079333	0.000333
10	0.043000	0.045000	0.042000	0.043333	0.000882
11	0.069000	0.071000	0.069000	0.069667	0.000667
12	0.111000	0.113000	0.111000	0.111667	0.000667
13	0.116000	0.117000	0.115000	0.116000	0.000577
14	0.121000	0.121000	0.120000	0.120667	0.000333
15	0.109000	0.108000	0.108000	0.108333	0.000333
16	0.100000	0.099000	0.099000	0.099333	0.000333
17	0.078000	0.077000	0.077000	0.077333	0.000333
18	0.027000	0.027000	0.027000	0.027000	0.000000
