Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.092000	0.086000	0.091000	0.095000	0.093000	0.090000	0.091000	0.089000	0.095000	0.091333	0.000957
3	0.206000	0.202000	0.202000	0.203000	0.209000	0.204000	0.207000	0.205000	0.205000	0.204778	0.000778
4	0.203000	0.200000	0.200000	0.199000	0.208000	0.200000	0.205000	0.203000	0.203000	0.202333	0.000972
5	0.215000	0.212000	0.211000	0.209000	0.217000	0.210000	0.215000	0.213000	0.213000	0.212778	0.000862
6	0.192000	0.189000	0.188000	0.186000	0.194000	0.188000	0.192000	0.188000	0.190000	0.189667	0.000850
7	0.182000	0.180000	0.180000	0.178000	0.185000	0.179000	0.183000	0.180000	0.181000	0.180889	0.000716
8	0.105000	0.104000	0.105000	0.104000	0.107000	0.104000	0.106000	0.103000	0.105000	0.104778	0.000401
9	0.058000	0.060000	0.062000	0.061000	0.064000	0.060000	0.064000	0.060000	0.061000	0.061111	0.000655
10	0.054000	0.047000	0.047000	0.047000	0.051000	0.052000	0.053000	0.050000	0.052000	0.050333	0.000913
11	0.081000	0.077000	0.075000	0.076000	0.076000	0.081000	0.082000	0.079000	0.082000	0.078778	0.000940
12	0.122000	0.120000	0.116000	0.117000	0.117000	0.122000	0.125000	0.122000	0.124000	0.120556	0.001082
13	0.126000	0.125000	0.122000	0.121000	0.123000	0.127000	0.129000	0.127000	0.129000	0.125444	0.000973
14	0.130000	0.129000	0.126000	0.126000	0.127000	0.130000	0.134000	0.130000	0.133000	0.129444	0.000944
15	0.116000	0.116000	0.114000	0.115000	0.113000	0.116000	0.119000	0.117000	0.119000	0.116111	0.000676
16	0.104000	0.105000	0.102000	0.104000	0.101000	0.106000	0.108000	0.104000	0.107000	0.104556	0.000747
17	0.080000	0.081000	0.078000	0.082000	0.078000	0.081000	0.083000	0.080000	0.082000	0.080556	0.000580
18	0.026000	0.027000	0.026000	0.027000	0.026000	0.026000	0.027000	0.026000	0.028000	0.026556	0.000242
