Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.096000	0.095000	0.098000	0.096333	0.000882
3	0.206000	0.203000	0.207000	0.205333	0.001202
4	0.202000	0.199000	0.205000	0.202000	0.001732
5	0.211000	0.207000	0.213000	0.210333	0.001764
6	0.186000	0.182000	0.188000	0.185333	0.001764
7	0.176000	0.172000	0.178000	0.175333	0.001764
8	0.103000	0.100000	0.102000	0.101667	0.000882
9	0.062000	0.058000	0.061000	0.060333	0.001202
10	0.039000	0.042000	0.041000	0.040667	0.000882
11	0.064000	0.065000	0.065000	0.064667	0.000333
12	0.101000	0.101000	0.102000	0.101333	0.000333
13	0.106000	0.106000	0.107000	0.106333	0.000333
14	0.110000	0.110000	0.111000	0.110333	0.000333
15	0.100000	0.100000	0.100000	0.100000	0.000000
16	0.092000	0.091000	0.092000	0.091667	0.000333
17	0.072000	0.072000	0.072000	0.072000	0.000000
18	0.024000	0.024000	0.024000	0.024000	0.000000
