Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.092000	0.093000	0.095000	0.093333	0.000882
3	0.206000	0.204000	0.204000	0.204667	0.000667
4	0.202000	0.200000	0.201000	0.201000	0.000577
5	0.211000	0.209000	0.209000	0.209667	0.000667
6	0.187000	0.185000	0.186000	0.186000	0.000577
7	0.178000	0.176000	0.177000	0.177000	0.000577
8	0.102000	0.100000	0.101000	0.101000	0.000577
9	0.057000	0.056000	0.057000	0.056667	0.000333
10	0.050000	0.049000	0.047000	0.048667	0.000882
11	0.077000	0.076000	0.075000	0.076000	0.000577
12	0.117000	0.117000	0.114000	0.116000	0.001000
13	0.123000	0.123000	0.119000	0.121667	0.001333
14	0.127000	0.127000	0.124000	0.126000	0.001000
15	0.114000	0.115000	0.112000	0.113667	0.000882
16	0.103000	0.104000	0.101000	0.102667	0.000882
17	0.080000	0.080000	0.078000	0.079333	0.000667
18	0.026000	0.027000	0.026000	0.026333	0.000333
