Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.095000	0.092000	0.094000	0.093667	0.000882
3	0.207000	0.208000	0.208000	0.207667	0.000333
4	0.204000	0.205000	0.205000	0.204667	0.000333
5	0.213000	0.215000	0.214000	0.214000	0.000577
6	0.189000	0.193000	0.191000	0.191000	0.001155
7	0.181000	0.183000	0.182000	0.182000	0.000577
8	0.105000	0.106000	0.104000	0.105000	0.000577
9	0.060000	0.063000	0.059000	0.060667	0.001202
10	0.048000	0.047000	0.051000	0.048667	0.001202
11	0.078000	0.077000	0.080000	0.078333	0.000882
12	0.121000	0.119000	0.121000	0.120333	0.000667
13	0.127000	0.126000	0.127000	0.126667	0.000333
14	0.131000	0.131000	0.131000	0.131000	0.000000
15	0.118000	0.119000	0.119000	0.118667	0.000333
16	0.106000	0.108000	0.108000	0.107333	0.000667
17	0.083000	0.083000	0.084000	0.083333	0.000333
18	0.027000	0.028000	0.028000	0.027667	0.000333
