Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.092000	0.093000	0.096000	0.093667	0.001202
3	0.203000	0.208000	0.205000	0.205333	0.001453
4	0.200000	0.202000	0.199000	0.200333	0.000882
5	0.208000	0.211000	0.210000	0.209667	0.000882
6	0.183000	0.188000	0.187000	0.186000	0.001528
7	0.176000	0.180000	0.179000	0.178333	0.001202
8	0.101000	0.102000	0.102000	0.101667	0.000333
9	0.058000	0.057000	0.059000	0.058000	0.000577
10	0.047000	0.051000	0.049000	0.049000	0.001155
11	0.076000	0.078000	0.075000	0.076333	0.000882
12	0.116000	0.118000	0.113000	0.115667	0.001453
13	0.124000	0.122000	0.120000	0.122000	0.001155
14	0.129000	0.127000	0.125000	0.127000	0.001155
15	0.115000	0.115000	0.112000	0.114000	0.001000
16	0.101000	0.104000	0.101000	0.102000	0.001000
17	0.076000	0.081000	0.077000	0.078000	0.001528
18	0.025000	0.027000	0.025000	0.025667	0.000667
