Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.220000	0.215000	0.220000	0.218333	0.001667
3	0.172000	0.169000	0.172000	0.171000	0.001000
4	0.197000	0.195000	0.196000	0.196000	0.000577
5	0.194000	0.194000	0.195000	0.194333	0.000333
6	0.203000	0.202000	0.203000	0.202667	0.000333
7	0.193000	0.193000	0.192000	0.192667	0.000333
8	0.191000	0.190000	0.189000	0.190000	0.000577
9	0.175000	0.174000	0.173000	0.174000	0.000577
10	0.166000	0.165000	0.164000	0.165000	0.000577
11	0.149000	0.147000	0.146000	0.147333	0.000882
12	0.138000	0.136000	0.135000	0.136333	0.000882
13	0.120000	0.117000	0.116000	0.117667	0.001202
14	0.104000	0.102000	0.102000	0.102667	0.000667
15	0.079000	0.077000	0.078000	0.078000	0.000577
16	0.027000	0.026000	0.026000	0.026333	0.000333
