Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.095000	0.094000	0.093000	0.094000	0.000577
3	0.203000	0.203000	0.203000	0.203000	0.000000
4	0.199000	0.200000	0.199000	0.199333	0.000333
5	0.207000	0.209000	0.207000	0.207667	0.000667
6	0.183000	0.184000	0.182000	0.183000	0.000577
7	0.173000	0.175000	0.173000	0.173667	0.000667
8	0.100000	0.101000	0.099000	0.100000	0.000577
9	0.057000	0.058000	0.057000	0.057333	0.000333
10	0.041000	0.042000	0.043000	0.042000	0.000577
11	0.067000	0.069000	0.070000	0.068667	0.000882
12	0.105000	0.107000	0.107000	0.106333	0.000667
13	0.111000	0.112000	0.112000	0.111667	0.000333
14	0.115000	0.116000	0.117000	0.116000	0.000577
15	0.104000	0.104000	0.106000	0.104667	0.000667
16	0.095000	0.095000	0.097000	0.095667	0.000667
17	0.075000	0.075000	0.076000	0.075333	0.000333
18	0.024000	0.025000	0.025000	0.024667	0.000333
