Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.097000	0.094000	0.096000	0.095667	0.000882
3	0.207000	0.206000	0.205000	0.206000	0.000577
4	0.203000	0.203000	0.202000	0.202667	0.000333
5	0.211000	0.210000	0.210000	0.210333	0.000333
6	0.187000	0.187000	0.185000	0.186333	0.000667
7	0.178000	0.177000	0.176000	0.177000	0.000577
8	0.102000	0.101000	0.101000	0.101333	0.000333
9	0.058000	0.058000	0.057000	0.057667	0.000333
10	0.043000	0.042000	0.046000	0.043667	0.001202
11	0.072000	0.071000	0.073000	0.072000	0.000577
12	0.111000	0.111000	0.113000	0.111667	0.000667
13	0.117000	0.117000	0.118000	0.117333	0.000333
14	0.121000	0.122000	0.123000	0.122000	0.000577
15	0.110000	0.111000	0.111000	0.110667	0.000333
16	0.100000	0.101000	0.101000	0.100667	0.000333
17	0.078000	0.079000	0.079000	0.078667	0.000333
18	0.026000	0.026000	0.026000	0.026000	0.000000
