Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.093000	0.094000	0.093000	0.093333	0.000333
3	0.205000	0.208000	0.205000	0.206000	0.001000
4	0.201000	0.204000	0.202000	0.202333	0.000882
5	0.210000	0.213000	0.211000	0.211333	0.000882
6	0.186000	0.189000	0.187000	0.187333	0.000882
7	0.177000	0.181000	0.179000	0.179000	0.001155
8	0.101000	0.104000	0.104000	0.103000	0.001000
9	0.057000	0.058000	0.060000	0.058333	0.000882
10	0.047000	0.046000	0.046000	0.046333	0.000333
11	0.076000	0.076000	0.077000	0.076333	0.000333
12	0.116000	0.117000	0.119000	0.117333	0.000882
13	0.122000	0.123000	0.124000	0.123000	0.000577
14	0.126000	0.127000	0.128000	0.127000	0.000577
15	0.113000	0.115000	0.116000	0.114667	0.000882
16	0.102000	0.104000	0.105000	0.103667	0.000882
17	0.079000	0.081000	0.082000	0.080667	0.000882
18	0.026000	0.027000	0.027000	0.026667	0.000333
