Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.089000	0.086000	0.090000	0.088333	0.001202
3	0.201000	0.200000	0.204000	0.201667	0.001202
4	0.199000	0.199000	0.202000	0.200000	0.001000
5	0.210000	0.210000	0.213000	0.211000	0.001000
6	0.188000	0.189000	0.191000	0.189333	0.000882
7	0.179000	0.180000	0.182000	0.180333	0.000882
8	0.105000	0.104000	0.106000	0.105000	0.000577
9	0.062000	0.062000	0.066000	0.063333	0.001333
10	0.049000	0.052000	0.051000	0.050667	0.000882
11	0.079000	0.078000	0.078000	0.078333	0.000333
12	0.120000	0.119000	0.120000	0.119667	0.000333
13	0.124000	0.123000	0.124000	0.123667	0.000333
14	0.128000	0.127000	0.128000	0.127667	0.000333
15	0.114000	0.113000	0.114000	0.113667	0.000333
16	0.103000	0.101000	0.102000	0.102000	0.000577
17	0.079000	0.077000	0.078000	0.078000	0.000577
18	0.027000	0.026000	0.026000	0.026333	0.000333
