Carbon	SCD_traj1_401-600	SCD_traj1_601-800	SCD_traj1_801-1000	SCD_traj2_401-600	SCD_traj2_601-800	SCD_traj2_801-1000	SCD_traj3_401-600	SCD_traj3_601-800	SCD_traj3_801-1000	scd_mean	se
2	0.093000	0.091000	0.092000	0.091000	0.090000	0.091000	0.096000	0.092000	0.092000	0.092000	0.000577
3	0.205000	0.205000	0.202000	0.208000	0.206000	0.208000	0.210000	0.205000	0.204000	0.205889	0.000807
4	0.202000	0.204000	0.200000	0.206000	0.205000	0.206000	0.207000	0.203000	0.204000	0.204111	0.000735
5	0.212000	0.214000	0.211000	0.217000	0.216000	0.217000	0.218000	0.214000	0.214000	0.214778	0.000795
6	0.190000	0.193000	0.189000	0.194000	0.194000	0.195000	0.195000	0.192000	0.192000	0.192667	0.000707
7	0.181000	0.183000	0.181000	0.184000	0.185000	0.186000	0.186000	0.184000	0.183000	0.183667	0.000624
8	0.105000	0.107000	0.103000	0.107000	0.110000	0.111000	0.109000	0.109000	0.108000	0.107667	0.000833
9	0.061000	0.063000	0.059000	0.063000	0.067000	0.067000	0.064000	0.063000	0.063000	0.063333	0.000850
10	0.048000	0.049000	0.052000	0.051000	0.047000	0.049000	0.047000	0.048000	0.049000	0.048889	0.000564
11	0.075000	0.079000	0.080000	0.080000	0.077000	0.078000	0.077000	0.076000	0.079000	0.077889	0.000588
12	0.116000	0.119000	0.121000	0.121000	0.119000	0.122000	0.119000	0.118000	0.121000	0.119556	0.000626
13	0.122000	0.124000	0.124000	0.126000	0.124000	0.127000	0.125000	0.124000	0.128000	0.124889	0.000611
14	0.126000	0.128000	0.129000	0.130000	0.127000	0.131000	0.129000	0.128000	0.131000	0.128778	0.000572
15	0.114000	0.114000	0.116000	0.117000	0.114000	0.118000	0.116000	0.115000	0.117000	0.115667	0.000500
16	0.102000	0.104000	0.105000	0.106000	0.105000	0.106000	0.106000	0.104000	0.106000	0.104889	0.000455
17	0.079000	0.080000	0.081000	0.082000	0.080000	0.081000	0.081000	0.080000	0.080000	0.080444	0.000294
18	0.026000	0.027000	0.026000	0.028000	0.026000	0.027000	0.027000	0.027000	0.027000	0.026778	0.000222
