Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.093000	0.093000	0.092000	0.092667	0.000333
3	0.205000	0.203000	0.203000	0.203667	0.000667
4	0.200000	0.199000	0.198000	0.199000	0.000577
5	0.210000	0.208000	0.207000	0.208333	0.000882
6	0.186000	0.184000	0.184000	0.184667	0.000667
7	0.178000	0.176000	0.176000	0.176667	0.000667
8	0.102000	0.102000	0.102000	0.102000	0.000000
9	0.059000	0.057000	0.058000	0.058000	0.000577
10	0.047000	0.044000	0.044000	0.045000	0.001000
11	0.075000	0.073000	0.074000	0.074000	0.000577
12	0.116000	0.114000	0.114000	0.114667	0.000667
13	0.121000	0.119000	0.120000	0.120000	0.000577
14	0.125000	0.123000	0.124000	0.124000	0.000577
15	0.113000	0.111000	0.113000	0.112333	0.000667
16	0.102000	0.101000	0.103000	0.102000	0.000577
17	0.080000	0.079000	0.079000	0.079333	0.000333
18	0.027000	0.026000	0.026000	0.026333	0.000333
