Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.094000	0.094000	0.095000	0.094333	0.000333
3	0.204000	0.203000	0.204000	0.203667	0.000333
4	0.200000	0.199000	0.200000	0.199667	0.000333
5	0.208000	0.207000	0.208000	0.207667	0.000333
6	0.183000	0.181000	0.184000	0.182667	0.000882
7	0.174000	0.171000	0.174000	0.173000	0.001000
8	0.101000	0.098000	0.100000	0.099667	0.000882
9	0.059000	0.057000	0.059000	0.058333	0.000667
10	0.039000	0.038000	0.036000	0.037667	0.000882
11	0.062000	0.062000	0.062000	0.062000	0.000000
12	0.099000	0.097000	0.098000	0.098000	0.000577
13	0.104000	0.101000	0.102000	0.102333	0.000882
14	0.107000	0.105000	0.106000	0.106000	0.000577
15	0.098000	0.095000	0.096000	0.096333	0.000882
16	0.090000	0.087000	0.088000	0.088333	0.000882
17	0.070000	0.069000	0.069000	0.069333	0.000333
18	0.024000	0.023000	0.023000	0.023333	0.000333
