Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.090000	0.090000	0.088000	0.089333	0.000667
3	0.206000	0.205000	0.205000	0.205333	0.000333
4	0.206000	0.206000	0.206000	0.206000	0.000000
5	0.217000	0.218000	0.218000	0.217667	0.000333
6	0.195000	0.197000	0.196000	0.196000	0.000577
7	0.187000	0.187000	0.187000	0.187000	0.000000
8	0.110000	0.111000	0.111000	0.110667	0.000333
9	0.069000	0.069000	0.069000	0.069000	0.000000
10	0.052000	0.048000	0.050000	0.050000	0.001155
11	0.080000	0.079000	0.079000	0.079333	0.000333
12	0.124000	0.123000	0.122000	0.123000	0.000577
13	0.129000	0.127000	0.126000	0.127333	0.000882
14	0.133000	0.131000	0.130000	0.131333	0.000882
15	0.119000	0.117000	0.116000	0.117333	0.000882
16	0.107000	0.105000	0.105000	0.105667	0.000667
17	0.081000	0.081000	0.080000	0.080667	0.000333
18	0.027000	0.027000	0.027000	0.027000	0.000000
