Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.224000	0.217000	0.219000	0.220000	0.002082
3	0.175000	0.170000	0.172000	0.172333	0.001453
4	0.202000	0.199000	0.199000	0.200000	0.001000
5	0.199000	0.195000	0.197000	0.197000	0.001155
6	0.207000	0.204000	0.205000	0.205333	0.000882
7	0.195000	0.193000	0.193000	0.193667	0.000667
8	0.192000	0.189000	0.189000	0.190000	0.001000
9	0.174000	0.171000	0.172000	0.172333	0.000882
10	0.165000	0.162000	0.164000	0.163667	0.000882
11	0.146000	0.144000	0.145000	0.145000	0.000577
12	0.134000	0.132000	0.134000	0.133333	0.000667
13	0.115000	0.114000	0.115000	0.114667	0.000333
14	0.101000	0.099000	0.101000	0.100333	0.000667
15	0.076000	0.075000	0.076000	0.075667	0.000333
16	0.026000	0.025000	0.025000	0.025333	0.000333
