Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.221000	0.222000	0.222000	0.221667	0.000333
3	0.172000	0.174000	0.172000	0.172667	0.000667
4	0.203000	0.205000	0.203000	0.203667	0.000667
5	0.203000	0.206000	0.203000	0.204000	0.001000
6	0.216000	0.218000	0.214000	0.216000	0.001155
7	0.207000	0.207000	0.204000	0.206000	0.001000
8	0.206000	0.206000	0.203000	0.205000	0.001000
9	0.190000	0.190000	0.186000	0.188667	0.001333
10	0.182000	0.182000	0.178000	0.180667	0.001333
11	0.162000	0.163000	0.158000	0.161000	0.001528
12	0.150000	0.151000	0.147000	0.149333	0.001202
13	0.128000	0.129000	0.127000	0.128000	0.000577
14	0.112000	0.113000	0.111000	0.112000	0.000577
15	0.084000	0.085000	0.083000	0.084000	0.000577
16	0.028000	0.029000	0.028000	0.028333	0.000333
