Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.221000	0.220000	0.218000	0.219667	0.000882
3	0.172000	0.170000	0.170000	0.170667	0.000667
4	0.206000	0.204000	0.204000	0.204667	0.000667
5	0.207000	0.205000	0.205000	0.205667	0.000667
6	0.220000	0.218000	0.218000	0.218667	0.000667
7	0.210000	0.209000	0.208000	0.209000	0.000577
8	0.209000	0.208000	0.208000	0.208333	0.000333
9	0.193000	0.192000	0.191000	0.192000	0.000577
10	0.185000	0.184000	0.183000	0.184000	0.000577
11	0.164000	0.163000	0.163000	0.163333	0.000333
12	0.151000	0.151000	0.149000	0.150333	0.000667
13	0.128000	0.128000	0.126000	0.127333	0.000667
14	0.110000	0.110000	0.108000	0.109333	0.000667
15	0.081000	0.082000	0.081000	0.081333	0.000333
16	0.027000	0.027000	0.027000	0.027000	0.000000
