Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.102000	0.100000	0.100000	0.100667	0.000667
3	0.207000	0.206000	0.209000	0.207333	0.000882
4	0.202000	0.203000	0.204000	0.203000	0.000577
5	0.209000	0.209000	0.210000	0.209333	0.000333
6	0.183000	0.183000	0.184000	0.183333	0.000333
7	0.173000	0.173000	0.173000	0.173000	0.000000
8	0.100000	0.100000	0.099000	0.099667	0.000333
9	0.059000	0.061000	0.058000	0.059333	0.000882
10	0.035000	0.034000	0.036000	0.035000	0.000577
11	0.057000	0.055000	0.059000	0.057000	0.001155
12	0.092000	0.091000	0.095000	0.092667	0.001202
13	0.096000	0.095000	0.100000	0.097000	0.001528
14	0.100000	0.099000	0.104000	0.101000	0.001528
15	0.091000	0.092000	0.095000	0.092667	0.001202
16	0.084000	0.085000	0.087000	0.085333	0.000882
17	0.067000	0.067000	0.069000	0.067667	0.000667
18	0.022000	0.023000	0.024000	0.023000	0.000577
