Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.220000	0.220000	0.222000	0.220667	0.000667
3	0.172000	0.171000	0.172000	0.171667	0.000333
4	0.202000	0.202000	0.203000	0.202333	0.000333
5	0.200000	0.199000	0.202000	0.200333	0.000882
6	0.210000	0.209000	0.212000	0.210333	0.000882
7	0.199000	0.198000	0.201000	0.199333	0.000882
8	0.197000	0.196000	0.199000	0.197333	0.000882
9	0.180000	0.178000	0.182000	0.180000	0.001155
10	0.171000	0.170000	0.174000	0.171667	0.001202
11	0.151000	0.150000	0.155000	0.152000	0.001528
12	0.139000	0.139000	0.142000	0.140000	0.001000
13	0.119000	0.120000	0.123000	0.120667	0.001202
14	0.104000	0.105000	0.107000	0.105333	0.000882
15	0.078000	0.080000	0.081000	0.079667	0.000882
16	0.027000	0.026000	0.027000	0.026667	0.000333
