Carbon	-SCD_1	-SCD_2	-SCD_3	scd_moy	se_moy
2	0.112000	0.111000	0.109000	0.110667	0.000882
3	0.221000	0.222000	0.218000	0.220333	0.001202
4	0.225000	0.225000	0.223000	0.224333	0.000667
5	0.234000	0.234000	0.232000	0.233333	0.000667
6	0.209000	0.211000	0.209000	0.209667	0.000667
7	0.197000	0.198000	0.197000	0.197333	0.000333
8	0.117000	0.118000	0.118000	0.117667	0.000333
9	0.080000	0.081000	0.079000	0.080000	0.000577
10	0.041000	0.041000	0.041000	0.041000	0.000000
11	0.065000	0.065000	0.066000	0.065333	0.000333
12	0.107000	0.106000	0.108000	0.107000	0.000577
13	0.110000	0.109000	0.112000	0.110333	0.000882
14	0.114000	0.113000	0.116000	0.114333	0.000882
15	0.103000	0.100000	0.105000	0.102667	0.001453
16	0.094000	0.092000	0.096000	0.094000	0.001155
17	0.073000	0.071000	0.074000	0.072667	0.000882
18	0.025000	0.025000	0.026000	0.025333	0.000333
